#{"t_start": 1642761129.205724, "env_id": null}
r,l,t
743.837841,1000,18.423039
404.250966,1000,36.901106
514.461538,513,48.440501
805.312188,1000,66.901924
1207.036978,1000,86.649714
419.611517,1000,105.06606
1191.567466,1000,125.075478
592.453979,1000,143.29391
1082.029987,1000,163.097641
483.729849,1000,181.464957
418.527881,874,199.666973
491.141469,957,218.336231
453.463949,991,238.673894
599.787455,1000,257.527689
858.260831,1000,277.143136
355.990706,967,296.141921
1615.301072,1000,315.803294
1484.936525,1000,336.732705
2830.107874,1000,356.012275
1868.594737,1000,377.767327
1412.692792,1000,397.24322
2648.452022,1000,418.583124
1386.335872,1000,438.845429
429.871766,1000,460.484705
439.286899,1000,480.137504
873.121295,1000,501.61367
1913.019886,1000,521.069047
613.159846,1000,541.75378
1542.511295,1000,561.338306
1508.698381,1000,581.928964
1291.455589,1000,601.339352
483.22051,1000,621.390585
983.61479,1000,640.641001
279.51926,1000,661.30954
680.053528,1000,680.026649
965.634204,1000,700.504191
1980.66314,1000,719.82006
2779.149857,1000,741.143508
1945.930282,1000,761.12858
1374.649115,1000,782.850814
2319.136597,726,797.838428
654.09134,547,809.310288
561.550188,842,827.030981
1138.391174,1000,846.471002
2446.270816,1000,867.990071
2029.713287,1000,887.76272
3064.182297,1000,909.440188
1547.066086,767,924.978173
4492.878104,1000,947.242082
1929.398775,861,964.472344
1645.562629,698,979.863585
2771.504264,1000,1000.68507
2988.98509,1000,1021.646025
1994.882804,1000,1042.871908
1419.376348,663,1056.870445
2336.263278,978,1077.034953
1342.758169,696,1091.610888
1674.09308,981,1111.282757
998.007017,957,1132.135704
3436.534453,971,1151.460935
850.624544,593,1164.821449
2088.779882,938,1183.619228
2712.87259,1000,1205.41471
2033.485483,1000,1226.185096
1589.831074,1000,1249.537123
866.32452,660,1265.18237
1981.871348,904,1284.142758
1553.678016,821,1302.645315
3945.903244,1000,1324.294958
893.460522,836,1342.482813
789.494974,462,1352.591658
1823.725303,808,1370.284585
773.568904,643,1385.296359
3241.234007,816,1402.940268
2462.303059,1000,1425.140647
3701.536356,927,1445.336441
3194.370232,1000,1466.355908
1188.488914,722,1482.379879
1300.338369,1000,1503.088109
3857.166158,1000,1525.839947
3236.747021,1000,1547.498538
2025.903491,939,1567.281013
2974.224894,1000,1588.534344
1661.93651,1000,1611.989134
4656.937639,1000,1633.342839
2083.346103,1000,1655.869343
1509.21054,906,1673.815486
1245.426786,880,1692.552402
2154.603068,1000,1713.832097
4226.355114,1000,1735.049003
5001.435146,1000,1757.285049
1714.991938,1000,1778.33399
1426.787498,1000,1799.707913
1994.223402,922,1818.439195
1651.520066,1000,1839.633559
2223.671906,1000,1861.006744
1213.048517,1000,1881.737505
1038.161479,1000,1901.780978
2033.450964,1000,1924.349043
1034.502052,609,1937.111541
2492.175058,810,1953.361139
1413.359648,1000,1975.304783
1918.876951,1000,1995.880566
1403.093344,1000,2017.047812
3423.938289,1000,2038.583217
1369.03322,1000,2059.648444
837.547053,693,2073.788454
358.852463,793,2091.697938
1530.33074,500,2103.076741
746.919171,900,2121.543393
3447.518527,1000,2144.619725
1435.209859,964,2163.949918
1769.037674,881,2183.033363
1138.697307,1000,2203.009962
887.775368,779,2219.742321
5021.745498,1000,2242.021286
4793.343721,1000,2264.949152
4340.130432,1000,2285.549416
3747.674738,1000,2306.654685
3337.401515,1000,2327.363205
1980.100018,1000,2349.882055
1969.409123,1000,2372.940277
2557.039123,1000,2395.046942
3182.407234,1000,2416.91416
2320.959297,1000,2438.432092
2961.640067,1000,2460.924587
1774.225654,1000,2482.314777
2839.959892,1000,2505.834105
4608.530328,1000,2528.311752
2773.110432,1000,2549.546561
4487.10147,1000,2571.496056
4990.476924,1000,2591.647071
2655.580789,1000,2611.343725
1046.224638,1000,2631.684279
4529.431076,1000,2653.092765
2554.15889,1000,2675.208179
2574.522902,1000,2695.966629
2138.032974,1000,2717.209404
2480.378219,1000,2737.929429
1960.395804,1000,2759.477346
1856.15443,1000,2780.278377
3935.151459,1000,2802.425847
3332.145743,780,2818.669836
2656.117445,1000,2840.811335
879.621149,847,2859.233739
776.806104,852,2877.300896
2455.445019,1000,2899.616114
5007.718748,1000,2921.111683
4417.402744,1000,2942.526798
3498.596408,1000,2965.147876
3546.979078,1000,2989.193681
1636.792581,1000,3010.921629
2818.051781,1000,3034.695357
2676.35119,1000,3056.592357
3050.776673,1000,3080.238582
2150.129358,799,3096.955809
4937.914849,1000,3120.190518
3499.417832,1000,3141.632917
2386.406577,1000,3164.338697
2013.991979,940,3184.247756
2777.223966,1000,3206.254537
1277.119877,795,3224.670259
3888.582493,1000,3247.569968
4969.123011,854,3266.717496
1531.827895,561,3279.083417
4666.183126,948,3301.211283
2277.845131,1000,3322.447619
3115.244178,979,3345.220955
3520.760282,1000,3367.622409
2931.058889,602,3380.692549
2933.737353,596,3395.207554
3257.787692,945,3416.187229
4344.011885,1000,3440.714309
2658.805747,1000,3464.018244
4060.409005,910,3486.767781
2434.691375,912,3505.60861
3985.251812,1000,3529.8663
4010.255155,874,3549.586213
2544.185065,862,3569.44237
5144.699641,1000,3592.464513
4304.07717,960,3613.866887
6031.049509,1000,3637.428408
2392.667749,1000,3660.378386
3360.544995,939,3682.991804
5550.943373,1000,3705.425755
3678.828437,1000,3729.859606
6591.129532,1000,3752.923959
6365.939013,1000,3777.404014
2003.870122,552,3789.764329
4265.441684,1000,3813.887081
1205.125708,561,3826.201144
5062.947836,1000,3849.125803
5253.983606,1000,3872.690516
980.239892,953,3893.792657
2466.507525,823,3912.938405
5311.7997,1000,3937.438488
4417.943419,938,3960.358816
2162.971138,985,3981.72719
2328.480743,703,3997.193521
4821.796643,1000,4021.773294
5340.448817,1000,4047.360061
3653.209777,962,4068.331208
5541.230112,1000,4091.523569
4491.773618,1000,4116.135225
6661.64311,1000,4141.157325
5287.53961,1000,4169.065803
6851.761802,1000,4194.612719
2923.8707,485,4206.34217
6529.410657,1000,4230.863925
4968.498641,898,4252.530425
4959.485641,1000,4279.650549
5738.643973,1000,4304.936788
4022.605452,1000,4331.454831
2801.649988,1000,4354.914036
3214.262932,800,4374.16679
1669.858404,501,4385.700196
1861.138909,551,4398.293926
2353.393375,871,4418.988872
2729.08976,802,4437.140791
4915.477428,304,4444.31273
456.507653,406,4453.613975
2940.9572,1000,4479.015205
1052.253246,875,4498.592412
3116.263564,540,4512.229351
4809.6121,1000,4534.671346
4549.296705,960,4557.926238
701.890253,618,4572.016159
4818.898074,1000,4595.017396
1882.433792,515,4607.168233
1630.931404,530,4618.826535
4058.448118,717,4634.575852
3324.506792,964,4658.229017
1925.975126,422,4667.615112
2771.272292,936,4688.533231
843.319091,536,4700.887523
3420.409554,790,4719.430696
1621.742766,482,4730.162232
4508.64003,968,4753.721338
4908.883442,717,4769.747431
2079.620849,815,4788.424445
2807.438877,874,4810.070056
3510.247985,813,4828.934905
3078.885212,647,4843.975232
2995.50766,633,4857.677852
1856.016665,1000,4878.436621
2719.84407,562,4893.155948
4804.989121,1000,4914.616064
3623.058061,747,4932.042429
