#{"t_start": 1642761104.1588562, "env_id": null}
r,l,t
402.586252,1000,18.910587
1005.416434,1000,37.591579
597.452671,1000,57.372257
447.172528,1000,76.387076
1082.816564,1000,96.346704
335.405944,818,112.06438
1237.476481,1000,131.701156
899.699405,1000,151.585114
1275.794372,1000,171.287976
511.213811,1000,189.740363
755.120472,1000,209.78234
630.042854,1000,228.570708
474.904623,1000,248.236983
587.629331,1000,267.083186
1465.991981,1000,286.745501
685.256747,1000,306.258695
823.851782,1000,325.888875
433.923301,1000,345.523692
378.306297,893,363.690545
1455.105374,1000,382.352076
629.14506,1000,402.445481
261.413781,975,420.493845
477.215644,1000,441.790454
650.277728,1000,460.344398
392.882973,1000,480.944983
1423.820306,1000,499.651988
1142.816149,1000,519.548709
1173.947382,1000,538.317597
647.454422,1000,558.802662
882.307938,1000,577.104979
506.034307,1000,596.399219
928.419163,1000,616.502891
913.626514,1000,635.234436
1962.500163,1000,655.001419
1195.391568,1000,674.627368
1521.540705,1000,694.206762
1614.619048,1000,713.078075
1818.874962,1000,732.460099
1390.702103,1000,751.426227
1067.531043,1000,772.130332
854.662883,1000,790.977478
984.268582,1000,811.141913
1623.538065,1000,830.358415
1360.099769,1000,850.719117
606.158188,1000,869.456918
1959.101441,1000,890.77318
681.992308,1000,909.393681
2609.266186,1000,928.935652
1166.70012,1000,947.888423
1795.643177,1000,968.109692
1386.512647,1000,986.960232
2495.23775,1000,1007.184833
2619.023298,1000,1026.890311
2107.699398,1000,1046.893927
2630.454865,1000,1066.448723
2850.092433,1000,1086.899533
1621.045815,986,1106.044641
2427.428649,1000,1126.198696
960.269299,1000,1146.110108
2370.625023,1000,1166.297717
2189.395593,1000,1185.818142
1694.999882,1000,1205.977221
1686.233339,1000,1225.765198
768.08115,1000,1245.7199
2623.629841,1000,1265.085178
2079.672499,1000,1287.26907
2718.075732,1000,1306.337543
3236.588506,1000,1326.772666
3060.594758,1000,1346.635426
1412.606482,1000,1367.029681
2620.648855,1000,1386.564716
2529.085171,1000,1405.923735
2611.01746,1000,1425.982177
2453.608397,1000,1445.83561
1542.870587,1000,1466.360584
2742.775871,1000,1486.351642
2791.908492,968,1506.990196
2087.463981,943,1525.658059
2899.296718,915,1545.441275
1769.167026,918,1564.121225
2149.179539,1000,1586.214608
1562.034687,528,1597.154958
2510.716095,1000,1617.911103
1907.688614,835,1634.819467
2233.08313,772,1650.773689
1734.821869,1000,1671.300278
2027.940518,696,1685.449414
3053.549965,1000,1705.708999
2691.78479,1000,1726.009194
2740.204295,1000,1746.530694
2379.419654,1000,1765.958445
2998.659384,1000,1787.024996
2680.623326,1000,1807.422629
2607.848817,1000,1827.691175
1392.870502,1000,1848.403116
3194.845201,1000,1869.014229
1938.886876,1000,1888.606823
2699.961906,1000,1908.57998
2668.96371,1000,1930.012555
3121.706331,1000,1949.926971
2798.78033,1000,1970.649421
1954.648459,1000,1991.47628
2645.742877,1000,2012.677138
2284.341342,1000,2032.898615
2229.252552,1000,2053.973429
2363.987978,1000,2073.321047
3267.580232,1000,2094.527229
1752.650214,1000,2114.944731
2603.527924,1000,2136.608071
2992.391295,1000,2156.085184
2292.706634,1000,2178.008575
3170.569628,1000,2197.674036
3325.739173,1000,2220.138737
3010.924396,1000,2239.679616
1874.034291,1000,2262.375778
2047.121235,1000,2281.821756
2934.653797,1000,2302.982102
3167.545845,1000,2322.587035
2546.814949,1000,2345.209848
3346.733117,1000,2365.317555
2438.441871,1000,2388.186167
3053.416827,1000,2407.883261
3393.063672,1000,2429.024208
4051.055952,1000,2449.266065
3358.337293,1000,2471.033628
2588.767081,1000,2491.646867
2352.542597,1000,2513.454149
2071.105471,1000,2533.634224
3165.760648,1000,2555.83561
2808.679434,1000,2576.606474
1294.250052,1000,2598.520055
2347.936025,1000,2618.66977
2455.302936,1000,2640.187536
2638.974177,1000,2660.307245
4106.887638,1000,2682.040866
2277.555079,1000,2702.884027
2826.11973,1000,2724.118289
2563.875357,1000,2744.403715
1897.637852,1000,2766.287095
2742.591976,1000,2786.443375
4053.042991,1000,2806.615735
3298.836066,1000,2827.852006
1902.65958,1000,2848.633432
2087.707859,1000,2869.967275
3462.388016,1000,2890.617589
3288.942253,1000,2913.017033
1934.624001,1000,2933.591599
2869.268349,1000,2954.948036
2194.97078,1000,2976.001736
3243.391882,1000,2997.985411
2025.838209,983,3018.367495
2187.229816,1000,3040.026294
2641.502476,1000,3060.707671
1219.004088,907,3080.421248
2770.62998,1000,3101.099119
3344.193709,1000,3122.277387
2809.204993,1000,3142.899365
2149.825934,1000,3164.162908
1295.206114,698,3179.173777
3076.20094,1000,3200.896036
2220.601089,1000,3221.500958
2171.820256,1000,3244.504851
600.792929,603,3257.329206
1635.692945,944,3276.561557
2140.275274,1000,3298.190745
2783.734272,830,3315.193191
2585.202972,1000,3337.669086
999.501603,1000,3357.986613
2054.038678,1000,3379.534838
1879.010375,1000,3399.995955
1307.111578,952,3420.676293
1370.518343,905,3439.612164
972.828507,1000,3461.779222
816.103885,534,3474.648219
1809.837016,821,3491.748184
1337.436014,997,3514.635464
1498.872596,720,3529.735067
1208.852371,765,3545.757215
1334.402718,1000,3568.113029
1820.163979,987,3588.624358
3006.26017,1000,3610.132371
948.834947,833,3627.246649
1399.234582,661,3642.392534
1984.324587,970,3662.600401
2167.456343,918,3682.511
2091.179661,899,3701.098353
2232.173381,873,3719.428512
3568.230081,978,3740.637442
1860.446475,682,3755.071853
2968.29725,620,3769.031359
1866.813909,1000,3789.798375
3351.052895,1000,3810.43721
1600.852739,973,3831.675328
795.131993,679,3846.246485
2745.281583,897,3866.13344
1814.193886,520,3877.215199
1938.171399,1000,3898.545188
1133.817669,451,3909.517955
2497.182555,937,3930.005021
2656.562322,932,3950.553659
1922.698256,908,3970.216111
2134.158919,821,3987.774856
2621.318832,831,4006.470945
1951.537436,823,4023.807277
1804.000086,913,4045.580172
1753.294249,910,4064.059385
2618.030218,1000,4085.90265
3768.801538,875,4103.831155
2157.340743,924,4124.334108
2217.517843,817,4142.753285
2695.333072,872,4161.175745
1625.410099,1000,4183.955184
