#{"t_start": 1642760933.5517945, "env_id": null}
r,l,t
925.199512,1000,18.330815
971.117365,1000,36.061139
965.783353,1000,55.039283
512.054687,1000,72.939018
1442.557133,1000,91.947544
719.167789,1000,109.618451
1199.43674,1000,128.432521
1220.749338,1000,146.312184
1422.168324,1000,165.431462
699.800172,1000,183.555054
877.907882,1000,202.449429
440.123753,1000,220.18522
492.425231,1000,239.107992
936.228317,1000,257.010239
1107.078755,1000,277.121467
685.829111,1000,295.334925
1080.112337,1000,314.353498
523.149953,1000,332.340805
742.14667,1000,351.877957
1268.762298,1000,369.836304
634.019275,1000,389.048955
522.929822,1000,406.71642
658.36236,1000,425.48139
858.522039,1000,443.373543
475.869547,1000,462.295367
1397.423267,1000,480.4421
928.418714,1000,499.528421
875.951275,1000,517.992519
766.393049,1000,536.746665
533.161921,1000,554.548649
532.534469,1000,574.459235
843.668006,1000,592.269915
493.02001,1000,612.073542
1223.91227,1000,630.108772
585.761876,1000,649.605401
542.720701,1000,667.80495
921.941993,1000,686.675381
1313.099227,1000,704.398706
826.281043,1000,724.474498
545.959866,1000,742.451856
883.292457,1000,761.585517
609.825048,1000,779.455273
1214.274224,1000,797.535943
1213.684201,1000,816.366401
877.395054,1000,834.194694
590.07531,1000,853.462731
1162.221887,1000,871.844019
1000.66677,1000,890.932771
996.054359,1000,909.356285
887.003473,1000,930.250393
1425.456744,1000,948.679053
869.815571,1000,967.519465
790.383188,1000,986.495311
1177.825333,1000,1005.299996
981.823349,1000,1023.42038
895.542729,1000,1042.265816
772.920362,1000,1060.810368
881.712136,1000,1079.684903
932.622507,1000,1098.014221
1098.875995,1000,1117.305504
982.973507,1000,1135.840146
915.307856,1000,1154.881092
882.627654,1000,1173.060307
823.526476,1000,1192.33906
673.02715,1000,1210.734667
856.182185,1000,1230.4005
954.838856,1000,1248.668415
596.825128,1000,1267.87463
717.87001,1000,1286.20145
429.828494,1000,1305.340449
688.307225,1000,1324.552325
814.565303,1000,1343.266764
551.905821,1000,1362.047617
364.542248,1000,1380.726276
572.757506,1000,1398.877653
593.978755,1000,1417.913071
607.377461,1000,1436.256221
522.701289,1000,1458.19863
1469.2828,1000,1476.853566
1118.230398,1000,1496.356452
627.135086,1000,1514.49537
970.409977,1000,1533.586704
603.806384,1000,1551.995321
1302.209844,1000,1571.143273
989.608563,1000,1589.68125
885.092081,1000,1607.716709
370.232864,1000,1627.412291
458.501684,1000,1645.368421
780.409258,1000,1664.642274
1153.864492,1000,1682.799762
1053.074868,1000,1701.924758
1286.201559,1000,1720.426478
427.555523,1000,1739.489459
627.608176,1000,1758.283848
1288.781347,1000,1777.228425
429.959309,1000,1795.086659
597.589804,1000,1814.146401
673.597779,1000,1832.453616
1191.93712,1000,1851.881952
843.663586,1000,1869.607515
704.817465,1000,1888.93402
772.218741,1000,1907.008301
1049.126754,1000,1926.245778
764.755825,1000,1944.547213
609.638928,1000,1963.430619
670.076887,1000,1981.302774
623.583809,1000,2000.748885
706.621308,1000,2018.574059
746.306241,1000,2037.715905
1202.751677,1000,2055.682899
1277.620011,1000,2075.012221
491.208518,1000,2092.80575
420.168494,1000,2113.443602
664.267642,1000,2131.280195
1120.963882,1000,2150.548448
1294.30954,1000,2168.582918
534.537219,1000,2187.852434
668.073976,1000,2205.88916
430.437184,1000,2225.583948
369.584096,1000,2243.388561
471.664337,1000,2262.57784
969.917089,1000,2280.793817
1092.345354,1000,2300.16361
605.404221,1000,2317.792964
1077.575036,1000,2338.587907
714.514951,1000,2356.355152
586.818692,1000,2376.981602
1213.636074,1000,2395.233582
462.897648,1000,2413.151926
582.888508,1000,2433.365744
996.826049,1000,2451.428604
1314.588214,1000,2470.499851
598.812687,1000,2488.369728
590.820877,1000,2507.076198
827.22795,1000,2524.972917
469.294784,1000,2543.729896
938.416165,1000,2563.012757
637.495241,1000,2581.780442
911.21361,1000,2599.989985
584.706377,1000,2618.836195
843.337655,1000,2637.189225
525.075221,1000,2655.91217
792.071847,1000,2674.231096
1250.062071,1000,2693.75897
810.389522,1000,2711.612408
1374.657507,1000,2731.904317
1201.000228,1000,2750.473531
427.721679,1000,2770.028007
417.206817,1000,2788.071603
455.174441,1000,2806.976585
734.390786,1000,2825.782837
747.777261,1000,2844.546453
1127.999472,1000,2862.80712
