#{"t_start": 1642760972.686065, "env_id": null}
r,l,t
97.042321,204,4.918669
152.076685,909,22.981022
41.20088,47,24.819382
477.298657,960,45.140766
35.385443,140,48.763916
68.541935,70,51.056083
66.748846,201,55.858746
112.429668,695,69.831949
52.175476,332,77.271713
86.980944,511,88.255744
95.682701,184,93.856997
76.773714,310,100.745001
481.22073,842,118.35761
157.08972,129,121.820126
312.041236,1000,142.765577
211.654685,536,154.163192
212.03504,311,161.494649
126.826304,283,167.962395
243.056275,760,185.475785
1022.971595,1000,206.166686
207.499642,316,213.588516
321.822706,672,230.236203
326.26772,287,237.164793
224.646779,236,242.612092
412.17974,444,252.725157
201.696156,229,258.287599
190.089341,450,268.20093
2093.722209,1000,291.362091
413.856223,336,299.244391
2878.923801,1000,321.106577
1038.592477,1000,341.709053
2485.302344,1000,364.088527
3075.59837,637,380.134935
1052.140372,387,389.050783
1967.66889,512,401.522036
1054.773252,551,414.807899
251.662464,178,419.539334
72.505878,117,422.874888
453.711424,725,440.088087
1140.384122,382,449.855103
2526.922729,847,471.352568
1721.173386,503,483.784087
1388.139549,542,497.889729
592.529633,633,512.439854
4219.427973,783,533.691111
421.903513,372,542.680072
435.929359,365,551.414924
1852.918673,515,563.36035
2471.754325,632,579.925615
278.977316,348,588.212458
386.014415,411,598.391887
935.061888,1000,620.371398
179.935241,366,629.357645
1349.778297,804,648.677019
1094.103912,294,655.886038
335.577384,236,662.512965
980.26887,510,675.535053
3140.142326,521,689.414908
1733.793407,330,698.025885
2409.147849,680,713.92727
911.887498,394,724.123807
2730.353797,423,735.073741
188.4702,233,741.48632
229.853798,248,747.715641
2082.218059,566,761.724377
1029.308073,341,771.352599
717.622522,412,782.147469
224.770706,297,789.393528
1412.218065,592,803.57679
1924.754255,525,816.320513
556.646357,404,827.28851
1911.24535,377,836.635109
707.39957,299,844.592775
676.288484,247,850.658608
576.252626,379,860.207046
737.841857,238,866.319327
1191.639267,450,879.18384
695.476549,465,891.006942
870.28324,286,898.049116
1964.291981,339,906.294791
285.194453,211,911.615201
2717.057382,426,922.449872
2421.620224,455,934.995852
1426.194955,315,942.566093
1788.246628,403,952.510213
970.36403,240,958.915764
276.976656,225,964.861539
2587.994433,450,976.395575
936.009107,454,988.28044
2113.001779,419,998.044728
3403.489411,415,1008.400915
2051.162179,259,1016.695432
3388.340032,398,1026.361756
623.773578,333,1035.59483
1633.079873,394,1045.385728
469.551623,382,1054.750329
956.283351,352,1063.704715
1591.544218,323,1072.057036
2319.921943,428,1082.263652
2973.311617,386,1093.679345
599.20475,364,1102.437769
1728.41934,321,1110.775969
1667.943626,319,1118.86803
1610.634526,340,1127.473057
2484.967322,417,1138.611036
1065.215535,359,1147.688904
1073.10175,598,1161.838828
1576.966874,307,1170.253745
878.086924,386,1179.946249
933.194615,311,1187.95346
672.010838,382,1198.220527
1782.700736,371,1207.537042
493.578871,267,1214.152537
738.157028,360,1222.966409
846.338835,480,1234.626693
800.790278,316,1243.486517
1967.505327,498,1255.791214
384.917277,252,1262.435703
3187.445243,519,1275.931412
3042.186663,531,1289.676987
3446.165308,480,1302.745785
4375.367006,666,1319.652465
1172.095602,379,1328.704374
348.879938,348,1337.224767
1253.321405,484,1350.547127
4349.222587,389,1361.715833
2035.757563,414,1372.423821
2832.506957,564,1387.086699
3986.156207,430,1398.356853
4494.430482,541,1416.87306
1156.343969,423,1427.274426
2318.253056,400,1437.259819
1385.701608,480,1450.976951
711.406149,347,1460.47281
1493.205947,331,1469.290936
1042.165266,516,1482.612885
2107.39661,380,1492.432081
4313.450295,463,1505.246053
1699.886703,436,1517.465961
2493.144397,439,1528.563636
1952.908885,375,1538.412195
2614.95444,581,1553.588825
535.448928,291,1561.452309
471.415762,267,1568.433489
544.477166,240,1576.414054
428.618713,350,1585.470904
551.489782,215,1591.61245
833.409762,210,1597.46759
4648.748528,416,1609.771225
1163.118202,259,1616.430559
581.694323,289,1624.261338
2639.859148,331,1634.282804
306.98327,115,1637.774623
1753.114839,241,1644.135945
396.876774,165,1648.696105
1619.741136,128,1652.439451
1836.484158,410,1662.928592
788.083558,310,1671.080953
248.021917,173,1677.024657
2044.731868,318,1686.726441
1856.203941,578,1702.546451
1202.21507,223,1708.721555
1773.084745,482,1721.767037
653.674137,477,1734.254584
3532.895813,542,1749.223836
951.675523,429,1760.267435
5006.76874,480,1772.636463
1375.407281,241,1778.794174
3373.447047,357,1787.823036
1714.050309,416,1800.502111
1703.623685,508,1813.665973
4908.087433,608,1829.81043
1028.294123,585,1844.242156
1872.615173,573,1860.758137
1966.646342,275,1868.39729
388.845323,289,1876.582929
3044.748928,428,1888.049612
251.95568,172,1892.770258
3889.987034,441,1904.620344
516.480331,367,1916.835473
2016.272997,524,1931.32838
3661.525412,496,1944.147409
4384.533032,556,1958.58922
874.218907,471,1973.076371
3905.335626,646,1989.373
2576.333622,315,1997.47634
1931.316164,385,2007.400287
226.081458,267,2014.404137
3154.753019,596,2031.659613
3583.655659,696,2051.361437
434.109735,245,2058.053073
1744.063209,426,2069.5857
2800.083708,598,2086.972476
1234.741304,208,2092.513898
2692.673626,548,2107.455502
2310.856084,579,2122.444346
3428.706323,648,2141.596109
1365.150738,593,2157.795995
4452.605458,680,2176.292118
2506.124843,530,2190.353951
4390.166543,933,2213.74452
2796.362601,672,2230.20518
2808.926082,595,2245.83558
3675.995024,1000,2270.01119
4459.662901,558,2284.44322
5279.772247,913,2308.864988
3707.376148,801,2328.88354
4148.557689,762,2351.701819
1119.988863,521,2364.491235
1786.167736,241,2370.835604
898.555604,419,2381.432878
2072.933328,480,2393.363754
5793.504821,719,2413.732315
4503.093815,845,2435.722023
5169.49652,650,2453.390334
6164.088912,1000,2479.375392
1004.677711,579,2494.09653
1536.015692,440,2505.410811
3885.518831,877,2529.882452
2593.201233,630,2545.158572
2967.841617,472,2557.329052
3800.135082,688,2575.375848
2910.97234,594,2591.044401
5524.868897,569,2605.235053
3944.984002,579,2620.912222
2047.592609,405,2631.259415
6504.007936,819,2653.151146
2212.065989,400,2663.087502
1799.926665,374,2673.650397
4452.187679,586,2689.061183
2019.106291,502,2701.822897
1142.770935,309,2709.874306
3167.521099,471,2723.413447
2549.463956,595,2739.180153
4459.511869,518,2752.800891
6261.598502,633,2769.495986
1744.173224,541,2784.722373
4339.278832,623,2799.930673
1274.426293,463,2811.288254
4363.254055,533,2824.43982
2375.607693,538,2839.547297
1641.792205,390,2849.154701
4301.664151,552,2863.344988
1654.660179,485,2875.433326
3530.821317,673,2893.77864
4776.567892,630,2910.793325
5175.574942,930,2935.036389
3433.25739,624,2953.107392
5021.057496,865,2976.759985
3750.784234,519,2990.059517
2049.740584,455,3003.032123
624.221206,185,3008.183216
6826.129764,541,3021.804999
2953.063111,608,3037.551559
2308.414277,462,3050.67266
2403.301427,517,3063.945791
4194.019518,568,3078.439588
4706.931347,816,3099.291122
5283.263658,557,3115.774914
4867.639199,551,3129.792746
982.165731,363,3139.526547
3011.012301,717,3158.517195
4640.287606,632,3174.624632
4583.784096,1000,3199.30652
4962.654453,582,3216.09162
6733.577826,717,3235.401466
5472.606646,1000,3261.63057
4042.933173,658,3280.404851
6183.812134,895,3303.383401
5318.580323,637,3321.841392
6217.379983,930,3344.708517
5989.640477,603,3360.694347
5136.032845,914,3385.574236
5138.306215,831,3405.634288
6102.195198,1000,3432.24334
4076.461962,834,3453.420552
2779.121045,544,3468.013608
5994.954474,929,3492.532749
4947.280071,721,3512.193136
6285.729807,825,3535.187196
5461.884444,574,3549.756314
3039.476257,346,3558.711736
5305.538136,649,3575.469722
5114.880544,446,3587.29935
1272.743982,422,3599.109057
3447.540406,608,3614.252179
7202.455568,801,3635.20557
4805.810454,678,3656.048239
5742.077893,688,3674.012836
7621.153067,795,3695.404277
6407.87654,1000,3721.724439
3271.947326,708,3740.095596
2226.41747,610,3756.761567
4032.642703,536,3770.663798
5401.052884,774,3791.738314
7464.993773,1000,3818.726174
4947.590485,793,3841.664827
3453.427809,526,3855.495826
4398.159978,580,3872.286696
2749.146067,480,3885.813004
4721.911744,821,3908.558961
3866.172385,663,3928.770537
5558.362165,448,3941.397536
6818.090465,975,3966.989949
4444.951888,706,3987.393316
5914.369188,933,4011.83223
3257.769413,443,4023.960523
5109.562348,697,4043.067039
5396.792911,660,4061.11764
4997.307235,709,4080.547544
4711.153236,653,4098.615649
4430.700588,493,4111.403341
2661.527428,289,4119.44607
5466.231832,725,4139.556914
6418.238992,458,4152.76738
7506.971607,904,4176.47655
4815.988577,831,4198.579159
4322.159407,705,4218.315377
4111.797132,620,4235.312059
7340.470778,939,4259.855688
6151.542524,1000,4286.031655
3712.443128,531,4299.563162
5291.058507,921,4326.794613
6970.38306,1000,4352.459244
1466.909742,543,4366.539088
2803.230062,490,4380.38311
4721.84699,649,4397.716758
6545.452152,702,4416.069604
5086.84072,672,4434.160812
3441.488591,852,4457.263368
2773.342962,503,4470.239192
5524.238238,395,4481.522737
4124.274543,773,4502.550689
1170.5089,291,4510.086646
5594.958972,779,4531.174371
6561.236557,694,4550.453316
6413.408723,668,4567.811051
5010.535003,769,4589.319762
6582.969074,531,4603.676092
6457.581595,565,4618.69712
4320.763181,496,4631.711724
5924.691162,583,4647.435323
4741.670078,564,4662.64295
5954.29829,463,4674.954423
5406.14273,578,4690.175534
4817.964022,391,4701.869411
4788.101116,487,4715.30211
2609.420173,504,4729.797127
3604.679499,454,4742.169554
2525.044331,372,4751.728777
6699.912223,549,4767.399261
4804.968439,604,4784.372325
3886.910062,570,4800.48826
5648.071174,476,4813.545343
2554.74415,474,4825.818305
4884.638498,438,4837.205353
6149.534604,626,4853.700139
5126.514882,638,4871.069273
3494.616002,680,4889.649739
1404.451934,475,4903.718078
4949.192274,596,4920.398955
6592.777724,657,4938.140006
5360.328751,526,4952.537398
5485.262757,608,4970.165654
6767.352116,637,4989.738979
6170.40865,756,5009.497514
5065.736391,382,5020.085324
3542.955433,604,5035.721467
6435.866448,588,5053.798363
3748.248581,433,5065.565595
6343.581905,635,5082.315215
6095.630891,547,5098.596258
4894.922671,554,5114.627167
5866.532912,634,5131.820605
6332.908601,617,5148.336247
4847.989555,594,5165.383664
6286.056271,631,5182.881601
6358.431923,621,5198.72477
3761.53019,491,5212.507549
6553.640524,602,5227.526495
2964.434912,564,5243.492898
2908.201336,458,5255.435875
5607.245152,872,5280.637607
3586.444601,479,5294.425664
6552.592641,670,5311.902117
6273.150064,387,5324.060077
6775.179199,647,5340.903361
5527.331359,749,5361.076369
4767.215316,757,5384.340101
4683.802361,726,5403.449567
5670.551629,651,5420.924019
4043.706724,481,5434.88196
3813.295948,769,5458.460376
7280.294664,836,5481.900567
5651.936389,466,5494.402237
4583.745958,752,5514.20515
4337.96239,757,5535.287349
5702.609364,570,5550.932057
6273.193346,759,5571.825651
4152.021077,625,5587.765539
6153.212296,709,5606.549571
4470.72578,477,5620.737135
3636.608743,580,5635.920204
3226.444078,536,5650.333072
6544.758895,621,5666.975502
