#{"t_start": 1642724453.5253427, "env_id": null}
r,l,t
47.757604,51,2.430298
60.90757,338,12.708704
396.690247,283,21.350235
15.383312,89,24.812651
20.886938,53,27.209
154.713592,414,39.441552
31.068517,56,41.930274
24.412544,41,44.297179
85.211797,79,47.429243
151.491285,169,53.109922
89.934015,107,57.054997
108.487996,207,63.790669
108.347863,97,67.41911
17.308525,52,69.814227
33.746628,46,73.473627
153.529566,572,90.453195
21.47441,78,93.551957
10.493772,48,95.82581
73.37009,142,100.673192
4.362,39,102.6712
14.160995,81,106.209666
15.41013,60,109.010561
173.022748,212,115.839435
304.257414,201,122.290859
140.95006,597,141.245842
108.862017,96,144.943782
1380.71764,1000,175.141371
47.855211,62,177.769238
918.160185,882,205.49822
171.286948,295,215.055785
31.181264,68,217.966171
16.178858,49,220.886448
71.815718,201,227.80574
34.049621,56,230.575722
67.33374,57,233.433567
82.80483,104,237.235
12.064456,59,239.785522
13.117503,112,243.880944
13.927781,64,246.68608
53.891389,55,249.140424
32.488679,43,251.268662
16.356339,67,254.089556
307.992987,460,267.910247
17.560786,63,270.561136
12.156242,65,273.277903
70.930663,129,277.724042
1090.196013,613,297.850834
16.248194,36,299.772787
22.08974,52,302.247971
40.766603,59,304.798009
60.842541,64,307.648706
59.643498,59,310.278544
173.284143,269,318.736553
101.138203,164,324.277294
18.10192,39,326.345523
151.102578,769,348.747207
49.012635,77,354.002716
109.063389,288,363.086788
43.131083,318,372.885605
941.006527,380,384.342438
375.000108,381,395.886661
582.890637,614,414.955453
348.273424,326,427.086883
382.112215,275,435.890506
2.251111,46,438.088254
226.527279,259,446.17669
813.711963,601,464.881945
44.177236,62,468.035354
18.938135,29,469.783859
170.452327,254,477.634778
162.934331,131,482.392352
24.748349,140,489.127747
468.705117,310,499.623117
263.595916,518,514.843998
86.283689,194,521.259564
91.710625,171,526.983097
95.875393,174,533.052079
1162.066805,680,554.997661
307.2907,528,570.875449
692.552282,496,585.959462
171.924733,272,594.768905
1276.0446,746,618.763284
794.227445,662,638.490582
905.621982,568,655.618673
1094.962336,733,677.488726
37.474382,99,682.267196
123.260459,532,698.130367
2560.287721,1000,727.415721
89.743157,103,731.306115
695.044637,1000,761.65973
1131.598622,1000,791.747914
446.989737,612,812.662067
726.931425,429,826.474099
114.490584,103,830.239306
71.580451,87,833.865605
265.519138,309,843.39346
1099.93811,510,859.395936
1418.38692,662,881.705095
363.143114,259,890.13133
226.100981,189,896.529052
199.586733,140,901.442921
320.797813,565,919.549663
383.984298,210,926.485614
711.493106,376,938.318069
1784.781818,1000,969.881493
522.494355,160,975.399805
412.244152,256,983.661768
1616.892328,950,1012.857193
1568.494045,784,1035.919205
1293.825104,549,1052.473548
17.738858,37,1054.553306
1028.532582,1000,1085.508628
633.10259,1000,1115.325669
982.472276,307,1125.391499
2254.207195,1000,1156.639428
745.03189,419,1169.819492
236.223565,176,1175.679468
1164.754701,402,1188.020894
2258.225164,783,1213.721894
1310.800783,969,1241.601984
786.449736,396,1254.098722
382.478117,771,1278.349879
2884.37371,1000,1308.038004
205.651887,188,1314.418525
1901.761287,1000,1346.460363
1330.833629,1000,1375.952097
89.76785,67,1378.913685
438.475841,238,1388.3953
807.753835,1000,1418.122459
2840.88204,1000,1449.657851
1238.853922,1000,1480.109801
838.730803,906,1507.412533
1087.137557,238,1517.186208
1203.469419,1000,1547.397487
