#{"t_start": 1644738165.141994, "env_id": null}
r,l,t
26.934784,102,7.39746
10.362327,73,9.9767
35.660192,44,11.797386
15.412387,58,14.024384
5.914635,25,15.347181
7.960197,28,16.743874
36.888792,95,19.915041
10.196046,18,21.171756
69.340033,133,25.929631
7.576614,96,29.277431
13.104743,71,31.702553
14.420462,45,33.549146
26.030168,33,35.047212
30.803475,78,37.581518
60.689401,100,40.763946
62.882226,107,44.048104
47.149679,58,46.132863
142.819556,500,58.291555
14.74753,32,59.774442
17.008751,34,61.344079
29.994618,50,63.342876
121.946243,189,68.611463
144.467081,314,78.727463
23.067918,53,80.684704
18.103707,84,83.36644
15.912416,35,84.922088
10.323327,53,86.996854
85.329865,72,89.424229
144.393702,111,92.844886
16.116384,77,96.543892
45.461632,94,99.632811
22.650417,63,101.936811
216.374448,500,114.524465
24.381059,36,116.093038
154.90231,139,120.271164
46.411316,61,122.411908
120.917129,107,125.697844
45.936106,38,127.406371
434.142847,378,138.844879
3.971049,28,140.245857
33.750191,48,142.104184
19.3796,48,143.972932
30.923729,33,145.577225
44.367553,60,147.715363
42.014325,43,149.506068
2.380735,91,152.793466
8.746458,101,155.938568
33.680486,81,158.498452
79.09761,93,161.512493
44.22295,88,164.29256
83.804871,88,167.076775
39.193385,127,170.735679
117.530919,184,176.038503
6.673671,69,178.358897
24.861003,53,180.415863
110.619202,130,184.411157
76.151064,111,187.721343
111.512766,77,190.25775
39.402048,50,192.179412
5.162662,126,195.98571
132.607693,500,210.452086
95.323724,140,214.434477
78.264119,144,218.53824
117.824663,119,222.055838
35.03607,96,225.540835
37.303432,84,228.407343
144.234106,88,231.223388
50.022231,116,234.840575
26.093609,42,236.691177
101.307549,119,240.257994
128.475024,249,246.942328
10.229914,101,250.052831
40.730227,397,260.138977
11.829329,290,269.590137
24.276954,73,272.029371
117.809219,163,276.534286
48.21597,107,279.737209
540.378658,336,288.615906
-1.087817,26,289.993047
27.695746,33,291.623758
161.84898,124,295.331269
14.280709,49,297.226492
10.674828,79,299.805894
24.679403,69,302.154656
619.972837,248,308.660792
265.968345,264,315.46693
8.388942,35,317.1196
373.955633,208,322.66453
446.756498,320,333.092294
86.651725,184,338.27606
37.844624,204,343.845851
124.125213,98,347.02699
77.124229,54,349.027815
0.843944,26,350.393031
63.240467,87,353.223257
3.995493,57,355.279804
88.871259,95,358.26646
66.093002,139,362.210099
62.574686,206,367.798676
230.551203,500,380.410654
120.668409,88,383.254008
62.03065,76,387.728826
118.80704,321,396.190271
385.807872,198,401.752456
199.871377,347,410.719686
128.61222,81,413.320728
390.19051,255,420.189891
552.835065,500,432.481364
70.966728,250,439.100124
151.016411,104,445.018777
83.902581,500,457.691397
179.071494,126,461.365875
106.924908,500,473.810634
7.929951,74,476.291003
621.597541,500,488.850533
133.693946,265,495.882753
114.947074,98,500.935473
190.746948,215,506.922192
8.854557,70,509.422654
69.012625,193,514.67473
1.781628,71,517.12197
26.008532,59,519.23002
207.197087,422,529.826663
583.062409,396,539.893313
124.358132,500,553.060575
30.0001,41,554.832078
88.572033,77,559.741562
159.542493,177,564.918816
39.905653,116,568.464917
120.535935,214,574.211603
511.025378,379,583.923127
1155.831537,450,595.223154
549.295169,500,608.014641
501.24992,299,618.221508
555.13956,500,630.542755
77.745907,151,634.806309
218.223824,212,640.638162
115.543162,62,642.937321
158.965677,98,646.764235
48.167462,147,650.941623
309.001721,209,656.799291
86.702184,84,659.534358
242.960763,224,665.938191
163.258075,500,681.168391
733.109508,500,693.73921
53.359328,83,696.40674
359.374517,500,708.905431
153.667228,500,721.802596
64.534211,100,725.626419
717.631972,500,740.180326
611.520293,500,752.68448
785.066558,204,758.333636
1508.972349,500,770.884564
542.079051,500,785.682531
631.588666,500,798.259465
270.332866,209,803.94299
548.208132,485,816.052909
814.98141,453,827.588656
495.313458,500,842.530265
656.363477,500,855.057646
140.649231,217,861.025285
250.751346,500,873.459436
342.593767,500,886.701699
360.870133,295,896.273528
551.761347,500,909.035018
558.796015,499,921.666955
590.161014,247,928.351657
1173.482285,500,941.523941
604.845339,500,956.052972
694.766409,191,961.272262
665.854815,500,973.937996
443.30849,376,983.614628
511.973363,500,996.711327
386.477164,500,1011.181411
417.091724,500,1023.786795
950.861544,326,1032.388285
132.570313,224,1038.465479
723.743137,500,1051.788391
727.235846,500,1066.057348
426.606029,260,1072.934322
828.52129,500,1085.785772
543.906586,500,1098.99069
1128.860188,500,1114.062093
960.696951,346,1123.0547
987.719001,403,1133.400826
1814.465968,191,1138.686166
70.385662,65,1141.12732
477.720329,500,1153.713712
200.14926,155,1158.33168
370.003835,178,1163.41796
53.834871,43,1165.172558
111.873897,330,1175.918415
604.762536,312,1184.098169
828.580402,500,1196.876328
778.938876,500,1209.764397
870.073987,422,1220.607841
53.196599,53,1222.566854
654.658181,500,1237.149053
519.993131,277,1244.491398
630.421499,500,1257.18916
1136.344426,500,1270.147666
745.319436,500,1284.443182
700.551889,500,1297.126154
417.423936,467,1309.117123
1152.629052,217,1315.19673
1473.783839,500,1328.13702
236.680303,125,1331.845081
69.986618,37,1335.67845
1162.348034,500,1348.407223
836.676627,500,1360.92657
952.323148,495,1373.940329
640.949095,259,1380.774201
1245.959568,177,1385.897742
992.718442,500,1400.946936
354.539532,217,1406.860298
553.294164,470,1418.940508
1312.865776,476,1431.360561
1554.797852,500,1446.349526
172.271458,115,1449.849562
282.622021,176,1455.007108
144.654499,145,1459.227877
1012.424142,500,1471.828663
271.476385,168,1476.585675
616.113978,444,1488.482931
902.670062,500,1503.197734
909.270733,500,1515.778011
871.922772,200,1521.513532
823.485444,391,1531.530592
706.219684,356,1541.869316
940.703237,500,1554.671362
1282.555629,236,1562.876533
889.58007,500,1575.528109
1745.288377,500,1588.357508
1122.681665,500,1601.018126
1039.664584,500,1615.755152
1304.395217,500,1628.406688
1436.90379,500,1641.164841
343.328637,226,1647.577295
617.884513,404,1658.042108
684.212854,395,1670.147746
886.032577,500,1682.813166
1676.57323,500,1695.536437
1682.972797,500,1708.721256
344.214165,322,1717.232026
835.318317,500,1731.750444
346.303071,203,1737.274893
1147.591803,123,1740.996014
1641.509817,500,1754.630585
2327.942947,500,1767.411241
997.43636,500,1782.306232
594.499475,500,1795.119815
660.925664,431,1806.263764
1340.621427,88,1809.391894
1090.91487,500,1822.396394
1483.332864,500,1837.292446
243.201485,96,1840.338713
500.448919,500,1853.185734
875.177621,359,1862.662386
1252.674355,500,1876.309501
829.014522,252,1883.098832
846.234563,500,1897.731218
1738.084435,500,1910.416748
711.060868,267,1917.8607
428.89608,313,1926.724396
876.580247,179,1931.775236
229.80047,128,1935.568393
713.378808,286,1943.347684
1673.82393,500,1958.040889
1885.843445,500,1971.055261
1010.161413,500,1983.900979
915.47204,459,1995.654839
669.756256,492,2011.160873
1171.950113,500,2024.278519
1544.630445,500,2036.989173
1105.861894,500,2049.842232
2583.636275,500,2064.701129
1680.059872,500,2077.560981
2040.767752,500,2090.369893
1736.379334,500,2104.195204
1530.823036,500,2119.306945
1017.953296,500,2132.318336
461.674514,283,2140.054163
390.078011,195,2145.590632
328.110709,125,2149.35431
554.361361,193,2154.866113
1715.069602,500,2167.640641
628.111589,422,2180.556527
1161.831406,320,2189.007565
1415.578649,487,2201.722881
691.855791,500,2214.301948
960.745011,500,2229.598016
1414.620587,500,2242.374892
1595.090377,500,2254.967063
1363.26631,500,2268.146879
1446.54841,500,2283.48977
1206.023227,500,2296.455768
1003.143525,405,2306.990585
1625.878706,500,2319.827415
817.763976,162,2324.480527
2413.07257,500,2339.554457
1421.706281,500,2352.402251
1858.319675,500,2365.081782
1508.908011,500,2378.164807
1713.463034,500,2392.660388
756.219611,500,2405.992557
1429.45805,500,2418.76041
1239.013256,206,2424.540683
1780.523605,500,2437.177904
476.667711,204,2442.890244
1519.359035,500,2457.875243
825.131883,500,2470.769384
1348.542421,500,2483.752594
2134.897424,500,2496.696717
2012.211053,500,2511.500022
2228.233777,500,2524.239165
1657.321564,500,2537.087908
1735.173153,500,2550.164635
2121.562566,500,2565.400679
1171.455049,500,2578.188018
1651.28835,500,2590.95048
2087.329161,500,2604.186839
1414.558454,500,2619.915914
1502.791606,500,2632.895648
1222.047902,500,2645.946177
1283.533656,500,2658.950347
2149.83378,500,2674.11306
1700.069743,500,2687.148916
441.583064,287,2694.660564
1622.326978,500,2707.598613
1386.809762,500,2720.342924
1763.348954,500,2735.777355
1236.196899,351,2744.908735
911.27168,500,2757.938624
860.647285,107,2761.651077
1226.803149,500,2774.581922
991.129464,500,2789.966155
1217.327781,500,2802.876151
1698.467906,500,2815.887826
471.839453,130,2819.798527
1410.95349,500,2832.689405
1077.997639,500,2847.766937
2385.25924,500,2860.605244
2006.711269,500,2873.810256
1647.05895,500,2887.089747
270.921075,122,2892.690165
731.823816,457,2904.687649
871.939187,155,2909.192165
1364.663793,500,2922.015129
2615.637843,500,2935.173987
881.10543,371,2945.243322
1078.238179,500,2960.20042
1792.410786,500,2973.04858
2632.240835,500,2986.053622
2319.111411,500,2998.951731
1200.152329,500,3013.969328
2317.133784,500,3026.652672
2808.756205,500,3039.468462
2289.116976,500,3052.561418
2610.835727,500,3067.370487
2266.308387,500,3080.838995
2268.565516,500,3093.823332
2874.702881,500,3107.134513
1806.718083,500,3121.975789
3560.759112,500,3135.173337
2737.881947,500,3147.923113
1650.68245,500,3161.296793
1286.062956,500,3176.13737
2172.547344,500,3189.116999
1648.855656,500,3201.920889
1321.893341,500,3214.98852
432.280396,159,3219.64662
2111.824062,500,3234.577133
3516.682411,500,3247.820721
2342.73307,500,3260.887811
1756.244706,500,3274.162222
2600.368514,500,3288.790139
1922.239078,500,3302.097745
1463.496434,500,3315.033229
2852.373947,500,3329.023245
2297.467917,500,3344.333419
1888.097066,500,3357.366854
1631.658778,500,3370.432529
2883.736658,500,3383.724266
2375.700301,500,3398.592443
1523.325195,500,3411.658933
3214.374516,500,3425.444122
1055.012744,500,3438.565958
2327.753628,500,3453.557503
3524.175203,500,3466.659217
1878.224898,500,3479.807135
3081.339537,500,3492.704145
2196.759576,500,3507.73921
2783.202418,500,3520.691774
1959.56288,500,3534.013779
1547.100804,500,3547.047215
2207.171807,500,3561.948336
3491.680829,500,3574.885324
2979.259757,500,3588.49394
3393.817451,500,3601.317572
3361.382726,500,3616.761454
3041.869422,500,3629.680823
1329.681256,500,3642.91489
1733.214805,500,3655.84549
3063.95064,500,3669.138367
2531.165057,500,3684.290744
3077.549524,500,3697.73829
1969.679512,500,3710.732592
2655.765721,500,3723.634934
1730.202927,500,3738.696051
2680.015512,500,3752.11496
2054.484726,500,3764.94415
3046.991361,500,3777.943402
2610.936749,500,3793.014816
3196.831984,500,3806.106479
2265.972995,500,3819.741273
2673.240585,500,3833.070982
3966.970363,500,3848.162209
2636.556349,500,3861.164145
1868.193561,500,3874.240991
1661.408971,500,3887.48961
2553.149372,500,3902.466554
2833.57362,500,3915.746255
2523.006384,500,3929.004744
1300.422108,500,3942.016357
2513.538905,500,3957.159512
3285.897141,500,3970.653075
2100.100517,500,3983.741165
3296.55054,500,3997.010293
2589.042272,500,4012.240236
2689.03892,500,4025.403382
3756.533094,500,4038.78356
3536.634417,500,4052.326064
2649.228804,500,4067.515612
2448.010854,500,4080.780899
2136.58318,500,4094.100224
3010.495812,500,4107.222622
1748.59657,500,4122.236226
1529.289103,500,4135.623546
2102.217289,500,4148.905196
2223.997706,500,4161.983284
2592.717228,500,4177.345794
3546.306032,500,4190.633667
1085.895432,500,4203.756801
3090.244992,500,4217.154261
2740.875497,500,4232.232317
1550.712223,500,4245.558573
4300.635131,500,4258.676107
3822.882371,500,4272.056202
3757.556165,500,4285.571176
2448.497879,500,4300.549842
2470.90867,500,4314.28002
2049.766663,500,4327.440299
1367.826144,500,4341.064457
3210.380696,500,4356.352916
2732.746861,500,4369.410443
3008.733212,500,4382.831394
1376.861578,500,4396.207612
2282.498623,500,4411.302215
2256.536319,500,4424.373613
3054.475178,500,4437.589705
3719.920972,500,4451.80763
2185.465632,500,4467.658856
2201.718548,500,4480.754874
3773.419855,500,4494.019007
2209.832325,500,4507.439612
2864.871371,500,4522.572779
2228.106422,500,4535.681896
2581.809983,500,4548.852104
2900.182582,500,4562.214791
2372.388462,500,4577.579242
2259.234405,500,4590.67812
1820.636311,500,4603.886564
2606.805838,500,4617.205
2525.958262,500,4632.905992
2649.803343,500,4646.08858
2886.652613,500,4659.54003
4257.994582,500,4672.808313
1654.297109,500,4688.438696
2761.553721,500,4701.570859
2065.843236,500,4714.952286
2324.228706,500,4728.17605
2669.124693,500,4743.617776
1927.35023,500,4756.842428
3757.796465,500,4770.507514
1797.335852,500,4784.19678
2674.227545,500,4800.285344
2268.055493,500,4813.672796
1609.324548,500,4826.611598
2581.191878,500,4840.670641
2376.501667,500,4854.137704
1414.681638,500,4869.314998
2195.514812,500,4882.34513
3360.416513,500,4895.823869
2455.550507,500,4909.239493
2803.508891,500,4924.405182
2594.476875,500,4937.617158
1761.750226,500,4951.097991
2775.822851,500,4964.663798
3102.621825,500,4980.249868
1876.854319,500,4993.447611
3527.563986,500,5006.907902
1663.407104,500,5020.134871
2073.738232,500,5035.561625
2973.672043,500,5048.671249
2751.065521,500,5062.031042
2816.502109,500,5075.460979
3301.140236,500,5090.412738
2424.861531,500,5103.561604
2972.861716,500,5117.130769
2559.500824,500,5130.467108
3854.854408,500,5145.646213
2241.187578,500,5159.072208
2650.898545,500,5172.303595
3330.020307,500,5185.947853
3125.412861,500,5201.42149
2515.959687,500,5214.484801
2702.189631,500,5227.833952
3270.906292,500,5241.132089
3366.284025,500,5256.475249
1970.899579,500,5270.365436
2139.15202,500,5283.958501
2477.818889,500,5297.890817
2210.185355,500,5313.393615
3332.297475,500,5326.548738
3229.107349,500,5339.87748
2816.799247,500,5353.673508
3063.303261,500,5368.829677
2986.01557,500,5381.945636
2358.794993,500,5395.875125
2078.847381,500,5409.213228
1798.206369,500,5424.599076
1727.916089,500,5437.781225
2652.315305,500,5451.075865
1607.463422,500,5464.658489
2708.284675,500,5477.996015
2728.747202,500,5493.10891
3552.438538,500,5506.540812
2400.318259,500,5520.286582
3166.140486,500,5534.109373
3346.157494,500,5549.37234
2738.732541,500,5562.816125
3675.879618,500,5576.020411
1394.639435,500,5589.673627
2765.859993,500,5605.614511
1572.643328,500,5618.993901
2555.605479,500,5632.342884
1249.32751,500,5645.937999
2095.606037,500,5661.148935
4649.148316,500,5674.531615
3469.448871,500,5687.680389
1179.86126,500,5701.291187
3405.602623,500,5716.527687
2456.699629,500,5730.001541
2426.399508,500,5743.257952
4435.082987,500,5756.976009
3483.247787,500,5772.123246
3276.755613,500,5785.762834
3498.900916,500,5798.88839
1941.653538,500,5812.287902
2023.358624,500,5827.774868
2219.908821,500,5841.362266
2758.181024,500,5854.644222
3110.119072,500,5868.174973
3306.952854,500,5883.955631
1956.274377,500,5897.461336
1755.180624,500,5910.674084
2308.739008,500,5924.038474
2795.674843,500,5939.519709
3724.14667,500,5953.079424
2999.070093,500,5966.290346
2885.26428,500,5979.851389
1573.479057,500,5995.249285
