#{"t_start": 1642156568.5222764, "env_id": null}
r,l,t
0.047823,15,1.498794
0.252914,22,3.118986
1.212719,97,6.981011
1.719328,34,9.072435
1.608689,138,14.262288
2.851292,126,18.942916
3.375738,219,26.632619
1.956342,72,29.824329
-0.000623,12,31.159292
-2.912989,43,33.451921
0.303208,20,35.004258
0.364081,19,36.537339
0.292223,30,38.50118
3.643011,203,45.770837
-0.143142,8,46.983761
12.72709,46,49.352248
1.947465,82,52.996445
-0.132503,12,54.338877
-0.27056,6,55.497733
0.060257,28,57.298963
8.874362,525,74.317045
-1.401202,50,76.943875
0.066338,13,78.314346
0.091067,19,79.867165
3.174068,96,83.750776
0.117055,52,86.321124
0.724441,52,88.969287
0.168534,22,96.546101
1.689314,65,99.512295
0.554222,39,101.670405
2.07015,67,104.814987
0.021859,14,106.222028
0.032689,9,107.941964
2.953411,124,113.195119
0.784327,32,117.463928
2.865034,83,121.79073
0.245087,44,124.402511
1.314617,42,127.109214
2.483297,199,134.374495
0.337728,22,136.13487
0.892674,38,138.277897
1.246993,32,140.223735
-0.19573,16,141.683702
0.972972,47,144.050773
0.552582,26,145.932742
-0.242674,10,147.221463
-0.030307,26,148.99641
0.538922,28,150.984841
0.430683,24,152.832513
0.193152,23,154.52394
-0.081871,28,156.377509
-0.138002,17,157.872286
3.633913,61,160.738543
0.764767,187,167.491336
1.157284,50,169.997579
0.223926,29,171.848722
0.744152,23,173.536133
0.207175,82,177.165625
0.250842,27,178.996081
-0.024745,24,180.769152
0.589618,31,182.700603
0.903908,25,184.512679
-1.348204,52,188.028313
1.222111,52,190.814532
3.299141,104,195.184843
-0.905823,49,197.674723
0.580961,24,199.511571
-0.071827,19,201.071596
0.22868,24,202.79397
-0.549828,57,205.970513
0.174117,29,207.825239
0.401316,28,209.755227
-0.022491,15,219.001482
2.224887,159,224.738033
-0.178803,11,226.060464
0.552864,28,228.018745
0.406528,28,229.862743
5.191727,63,232.786127
5.388022,187,239.513842
1.799056,37,241.592972
4.707773,315,252.678626
0.13602,17,254.194203
3.620462,224,264.793624
2.861324,230,272.807516
0.03029,23,274.477893
5.3e-05,154,280.208996
5.553124,175,286.717303
-0.221676,19,288.250503
5.364274,342,299.607236
0.216184,30,307.792115
0.982145,26,309.622437
3.142548,129,314.610847
-0.124652,14,316.01562
0.333832,24,317.820241
4.008605,260,327.419595
0.412984,35,330.458063
4.972613,105,335.496269
-1.530884,32,337.464222
0.408097,28,339.424311
5.483394,219,347.265679
-0.183569,12,348.609193
0.359067,39,350.769809
1.717338,158,356.709972
8.068269,91,360.508565
0.07393,21,362.126272
0.835537,30,363.999068
-0.009609,18,365.512384
0.447724,25,367.35314
0.209201,23,369.02884
-0.013709,27,370.823309
0.846645,28,372.643635
0.14651,15,374.820798
-0.080516,13,376.261169
1.896898,74,379.497072
0.191223,33,381.4794
4.790765,329,392.554313
-0.317854,90,396.38501
1.215023,228,411.576322
0.582668,37,413.673294
1.274544,39,415.814467
1.066778,31,417.847255
0.709346,82,421.500684
-0.056738,14,422.906956
-0.099907,11,424.209715
1.080772,35,426.252488
1.01261,27,428.144171
1.141586,66,431.151915
-2.079301,70,434.363838
0.788391,48,436.795128
0.424349,20,438.361531
0.350323,26,440.566966
2.416448,73,443.754889
0.134845,13,445.128994
-0.028348,24,446.83053
-0.179708,9,448.213356
3.003745,77,451.499184
1.086888,38,453.62957
8.25683,416,467.928169
-0.168439,113,472.588858
-0.001882,47,475.404405
-0.17373,15,477.131109
3.044903,119,481.743777
0.168704,67,484.810564
-0.009957,16,486.38988
-0.158561,11,487.719161
0.211962,35,489.762534
0.988315,50,492.290001
3.929852,136,497.425587
0.957183,48,500.092527
37.545694,349,519.196442
1.149355,35,521.244411
0.716926,34,523.24838
3.367965,179,530.134022
0.950119,21,531.799771
1.489001,306,542.464908
4.382152,86,546.240479
3.037842,209,553.745516
0.275256,28,555.693485
2.703642,195,563.882463
0.489253,53,566.709889
-1.926416,84,570.569433
1.561637,63,573.580099
1.022095,48,576.020025
8.343939,249,584.528006
4.209815,87,588.194221
0.349352,27,589.973576
-0.211526,12,591.429202
-0.016916,34,593.48048
1.024756,150,606.499328
0.416114,23,608.458812
0.214956,37,611.122312
3.738223,205,618.859665
-0.209498,10,620.154326
0.486721,21,621.767113
4.377753,85,625.349391
0.112059,16,626.92864
0.181535,22,628.997913
6.866021,165,634.951634
0.417843,19,636.513542
11.883293,705,659.073691
6.356065,160,664.859541
5.107496,87,668.766569
0.336277,15,670.342214
0.955401,55,673.088736
2.634282,98,678.009509
0.991456,38,680.536421
1.708848,96,684.406797
3.697745,126,689.194486
2.901211,244,706.169349
9.685236,227,714.005132
4.841022,194,721.066227
7.054934,111,725.355438
0.5634,97,729.333429
3.554342,57,732.010782
0.25056,31,733.911364
1.324665,115,738.477132
3.326926,179,744.971789
0.22768,20,746.65794
3.963117,209,755.075654
-0.124359,21,756.772464
6.750963,214,764.845534
2.125857,74,768.102165
0.094279,18,769.633132
0.755072,18,771.158647
7.676137,243,785.788405
1.420496,116,790.472388
1.708786,66,793.474524
6.066727,178,799.929525
1.389263,197,806.83513
35.559868,176,814.217062
1.61807,129,819.266224
0.840607,25,821.340707
3.402296,84,824.934948
14.961407,279,834.483355
0.366782,25,836.224729
0.739877,33,838.210141
10.24713,456,852.970299
13.406204,126,857.874917
7.810196,156,870.129802
1.78658,56,872.807315
-0.089187,10,874.089127
2.694474,89,878.001302
1.203227,32,880.88498
10.005131,248,889.887768
-0.057968,23,891.649148
