#{"t_start": 1642156704.822403, "env_id": null}
r,l,t
27.007709,2526,66.841523
20.116479,935,90.513259
27.314631,2982,165.234933
115.283101,10000,413.907274
37.136005,5124,544.639097
75.858036,10000,787.420368
114.874301,3574,877.254401
43.201114,2111,929.428326
27.935969,1849,976.569286
367.82501,10000,1225.89257
4.737175,178,1231.192611
92.061275,10000,1475.89802
26.309451,1381,1511.298609
294.92194,10000,1757.383266
370.927643,10000,2004.601197
770.086102,10000,2258.989961
586.346422,10000,2516.413956
43.977635,2561,2580.396234
73.761466,2021,2631.295607
65.467244,3808,2728.120857
333.619194,10000,2985.351606
740.313231,10000,3241.346476
815.187,10000,3496.496108
33.954968,2049,3547.917203
33.764079,3862,3646.785348
400.690482,10000,3899.436237
939.666411,10000,4155.472181
247.05852,6054,4304.763659
200.357171,10000,4559.66605
382.995955,10000,4811.699847
60.690582,5577,4950.544431
126.197078,10000,5200.263137
316.651129,10000,5449.423932
153.754115,10000,5692.292937
623.599473,10000,5943.135209
1156.305529,10000,6190.049062
708.980232,10000,6447.915783
785.457045,10000,6698.73514
825.579173,8143,6906.86604
765.053514,9454,7144.264223
1001.519232,9097,7380.818606
560.369734,6916,7557.279602
785.846563,8757,7782.53865
891.576926,8021,7988.572188
498.413727,8137,8200.171716
251.229323,4929,8327.550896
510.737057,7268,8514.417443
841.565027,7824,8714.637853
784.594824,7304,8902.472876
897.604682,10000,9156.733895
813.778358,10000,9416.316052
705.673931,10000,9672.438075
859.327242,10000,9929.888358
1098.036017,10000,10186.809625
554.535593,9460,10432.461984
1234.798894,10000,10689.712793
497.702142,10000,10948.24165
939.196957,10000,11204.057131
1144.626946,10000,11464.111067
551.521874,10000,11726.57468
841.204594,10000,11990.728174
1003.300195,10000,12252.939527
1139.751058,10000,12516.531027
461.960155,6330,12683.231441
244.330348,4711,12807.89263
574.945227,5573,12953.400293
194.468139,4774,13080.758172
1007.753689,7323,13273.911326
389.650021,7016,13462.424318
826.738894,10000,13729.505265
910.148712,8687,13965.71432
1238.167128,9606,14223.093
1329.819529,10000,14494.119796
974.970644,10000,14760.03653
900.606552,10000,15029.607257
1153.308307,10000,15295.136319
736.642242,10000,15566.731867
957.519998,10000,15833.411527
1248.330882,10000,16099.816012
1190.650898,10000,16366.924503
1138.877529,10000,16633.382493
1199.285528,10000,16900.397143
1137.948375,9699,17164.040829
892.674276,10000,17430.915599
1146.457791,10000,17701.456679
1093.103448,9262,17949.188987
697.571015,9107,18196.724328
1395.931909,10000,18465.33796
1329.391945,10000,18734.739496
870.676675,10000,19003.384674
1257.084011,10000,19275.163349
824.316683,10000,19539.83986
1136.305498,10000,19810.462914
1261.909965,10000,20078.380906
1118.498593,10000,20351.20622
1008.583346,8636,20582.965684
837.543108,10000,20851.882592
1066.528209,7512,21053.979755
1030.115592,7701,21266.185284
1359.28749,10000,21532.162788
1095.283066,10000,21801.624897
850.033922,10000,22069.155611
1309.505751,10000,22339.188148
1442.021742,10000,22603.121212
1405.71839,10000,22875.005706
397.05144,10000,23139.831626
1357.837463,10000,23410.420096
774.355763,10000,23675.663881
1428.170955,10000,23944.554467
1353.008401,10000,24210.720668
1130.777247,10000,24477.022401
1341.57582,10000,24742.978508
1215.341453,10000,25010.609612
1485.446689,10000,25276.737588
1247.880127,10000,25547.816193
1292.664184,10000,25817.287002
1410.463496,10000,26084.95878
