#{"t_start": 1642253759.9854887, "env_id": null}
r,l,t
0.035702,15,1.461633
0.188813,22,3.073448
0.905356,97,6.960534
1.283565,34,9.0248
1.200968,138,14.211963
2.128633,126,18.91271
2.520158,219,26.560999
1.460508,72,29.774575
-0.000465,12,31.096222
-2.174693,43,33.399735
0.22636,20,34.975009
0.271805,19,36.499282
0.218159,30,38.485094
2.719691,203,45.801967
-0.106863,8,47.010657
9.501413,46,49.377036
1.453881,82,53.020948
-0.09892,12,54.351491
-0.201987,6,55.497872
0.044985,28,57.299839
6.625157,525,74.218202
-1.046067,50,76.849672
0.049525,13,78.226601
0.067986,19,79.783435
2.369601,96,83.653392
0.087387,52,86.225368
0.540831,52,88.898745
0.11129,21,91.390865
0.312239,23,93.072465
2.944078,65,96.005488
0.157371,14,97.523514
1.154633,55,100.196238
1.877333,88,103.889798
1.408032,74,107.153072
0.687998,42,109.549942
2.179897,68,112.60135
0.579739,34,114.618213
0.04991,27,116.409385
0.614821,31,118.332174
0.111581,23,120.100627
1.391126,50,122.61564
0.416183,55,125.218492
0.031036,38,127.356745
-0.980778,99,131.514681
1.347296,32,133.479765
0.148662,34,135.485463
-0.031482,21,137.088179
0.664146,30,138.938807
0.2259,22,140.703361
0.179267,23,142.357345
0.578993,66,145.354614
0.297655,30,147.222671
0.282582,42,149.566347
-0.153358,9,150.806982
0.000927,17,152.300602
0.976803,186,158.883133
0.288728,31,160.792549
0.09229,29,162.746577
0.084157,27,164.56388
0.494434,72,167.710885
0.688438,83,171.240971
13.841805,110,175.767399
0.943859,49,178.247376
3.470556,116,182.812515
0.363552,30,184.708896
1.662151,87,188.29737
0.641779,24,190.117407
-0.139067,10,191.386122
0.144098,20,192.960979
0.065387,31,194.862367
-0.191928,18,196.503582
0.00529,15,198.81179
2.690417,242,207.170221
0.200687,29,209.019945
2.317485,167,215.23081
0.777464,61,218.147401
3.012676,301,228.489659
4.61496,223,236.2747
0.679788,83,239.840477
0.705689,33,241.914641
0.014094,26,243.691443
-0.046116,21,245.301223
0.407134,37,247.410564
0.10578,12,248.733607
1.981976,73,252.075496
0.935825,76,255.397461
0.241928,104,259.593403
0.307866,22,261.21279
0.560798,121,266.095216
0.225592,31,268.023395
2.917474,128,272.95974
1.449376,113,277.342096
0.228178,14,278.862872
0.020615,16,280.330841
-0.108419,10,281.609436
0.190572,31,283.5252
0.232093,34,285.545653
0.218158,36,288.741312
1.314977,106,292.955623
-0.073768,42,295.331439
1.442337,74,298.561242
0.005653,31,300.4557
1.42807,173,306.854645
0.700253,36,309.033589
1.836586,52,311.627354
1.712754,93,315.511942
-0.33974,61,318.371455
0.091654,20,319.957433
1.199856,106,324.390602
0.489959,157,330.267164
0.987762,107,334.537933
0.035676,31,336.428861
2.97195,458,351.637459
1.77429,213,359.13987
0.395218,23,360.835202
4.9965,79,364.259282
0.14783,33,366.237427
1.079933,116,370.858769
-0.13485,10,372.133029
1.456801,99,377.084784
1.417666,83,380.579196
0.794249,72,383.826964
0.713496,69,386.957683
0.466755,28,388.77834
13.466817,97,392.77572
0.259201,39,394.943893
0.47128,49,397.548498
-0.166782,9,398.787089
0.250129,24,400.515505
3.359017,129,405.418482
-0.148103,8,406.748939
0.046881,22,408.394746
2.364993,76,411.703405
0.206046,32,413.642084
1.095182,126,418.527764
0.116333,15,420.072726
0.292911,56,422.797233
1.744114,88,426.489059
3.063584,70,429.597627
0.721834,51,432.228797
3.623967,125,437.053507
0.050452,22,438.696573
0.440193,75,441.995208
0.676253,91,445.865975
0.169571,37,447.999956
0.257303,22,449.644224
0.116502,13,451.020222
-2.161031,85,454.639386
4.16074,67,457.69792
1.15925,153,463.351622
0.692608,238,472.744271
0.16861,14,474.142192
0.241687,53,476.75064
1.120904,152,482.377513
-0.127638,12,483.856889
1.798399,123,488.643523
3.794428,147,494.182377
1.822863,77,497.528212
3.777454,131,502.553507
15.831875,164,508.685688
2.597094,230,516.833049
0.081675,14,518.236701
4.457077,167,524.435946
0.34362,28,526.364419
3.461841,91,530.238352
-0.042077,11,531.541624
2.834895,97,535.513736
15.734824,141,540.796054
0.91216,35,543.016711
0.628436,48,545.468126
0.294295,54,548.123799
-0.047977,10,549.405379
0.227576,33,551.527322
-0.030438,16,552.989704
4.469276,150,559.497098
3.201969,107,563.718423
0.063403,24,565.565118
-0.159604,8,566.793591
0.254908,23,568.49496
0.301781,28,570.349179
0.78493,31,572.285723
5.777791,114,576.747593
1.158004,48,579.223034
2.04972,56,582.026182
3.234352,125,586.861816
0.266434,36,588.947793
0.101179,16,590.411753
1.971831,100,594.559942
0.85387,32,596.531199
0.612862,25,598.263704
0.379355,41,600.540847
0.405841,18,602.056801
0.048891,14,603.577701
0.377608,53,606.149286
0.468476,47,608.587698
-0.047663,18,610.102192
0.875031,85,613.836504
3.347376,139,619.011315
12.259577,121,623.763295
-0.003924,15,625.18249
0.087802,11,626.48119
1.424978,99,630.603003
0.600998,20,632.211163
0.526272,51,634.763422
3.069273,166,640.921584
21.632924,190,647.937274
2.469594,52,650.523635
1.151718,27,652.329246
0.641929,35,654.375391
5.265993,129,660.223263
7.690995,57,663.170545
3.538926,110,667.478743
2.543668,158,673.30156
0.347805,118,677.90105
-0.046434,9,679.266056
3.107946,59,682.051996
1.047596,64,685.028242
3.119589,80,688.456885
1.590588,92,692.437318
2.364296,49,694.952872
0.630481,41,697.212723
0.161747,29,699.083021
0.10198,20,700.680768
1.222435,74,704.003578
1.960359,56,706.720347
0.397576,24,708.552578
0.880727,45,710.930687
-0.01882,15,712.373226
7.033982,191,719.287599
11.791664,125,724.260782
-0.896386,34,726.315145
1.380921,41,728.568724
1.272937,53,731.24609
0.610748,26,733.032002
2.961204,120,737.891948
0.002708,11,739.189847
-0.79307,21,740.859559
1.51551,73,744.136574
0.287199,15,745.68406
1.063002,34,747.720519
1.934599,81,751.217666
3.723328,139,757.31249
4.437308,80,760.785988
1.45613,164,767.090973
2.219643,85,770.712127
15.085648,130,775.761636
10.799639,135,781.010406
13.443481,491,797.213346
4.092493,106,801.471725
0.613529,65,804.740569
4.581825,55,807.450202
0.098283,12,808.909048
-0.019787,8,810.156737
-0.772866,59,813.013203
0.278673,37,815.142365
0.163912,45,817.515795
0.573279,80,820.964008
60.997622,111,825.357936
-0.480302,27,827.287131
12.175824,250,836.87165
0.749471,72,840.01872
0.247257,22,841.657985
44.446839,26,843.595356
1.254223,28,845.422939
16.95867,37,847.574802
6.456523,120,852.290971
3.815717,138,857.562925
8.861929,200,864.844411
0.438234,54,867.475419
0.510225,54,870.094562
2.173803,69,873.172402
0.641548,29,875.000378
1.236309,36,877.187909
-0.156819,55,879.81916
33.832839,214,887.506393
1.220622,129,892.384995
-0.674125,34,894.529909
-0.129398,10,895.793826
3.052403,310,906.349127
1.709956,117,910.941785
0.8476,32,912.903967
3.112896,158,918.863532
2.197615,160,925.599023
3.265484,120,930.212815
23.040357,194,937.379569
1.564855,123,942.233317
3.06407,130,947.337151
5.662304,141,952.641761
-0.654232,164,958.855106
0.037511,214,966.596561
3.543673,227,974.774328
-0.084571,19,976.330994
7.427642,175,982.830278
0.744975,28,984.631036
3.091054,165,990.724173
0.909144,47,993.101919
0.11932,24,994.903287
7.66077,265,1004.885835
-0.038436,14,1006.287241
3.619722,68,1009.319978
4.091091,64,1012.410285
1.202702,72,1015.563787
27.471637,330,1026.809835
4.342898,77,1030.106997
0.392511,35,1032.174993
0.19889,31,1034.205546
8.966403,168,1040.40325
-0.727577,36,1042.470732
1.741186,46,1044.85695
4.294595,139,1050.090901
48.152969,191,1057.291388
42.187552,180,1063.826616
2.741056,160,1069.848296
6.173076,110,1074.182766
26.908231,89,1077.953205
4.074828,132,1083.076821
2.053005,35,1085.116559
0.566247,25,1087.723618
7.966036,260,1096.802821
0.017375,15,1098.342854
0.585788,21,1099.985863
19.257837,47,1102.426924
2.500367,81,1105.883335
0.606092,51,1108.460543
45.575655,149,1114.25991
3.514668,212,1121.705252
2.873257,73,1124.936918
9.607058,66,1127.976168
22.95227,246,1136.762297
4.097728,88,1140.410033
