#{"t_start": 1642253740.1751149, "env_id": null}
r,l,t
45.954168,10000,301.64709
85.373974,10000,612.287673
20.992173,1364,655.81909
67.672396,10000,964.232539
42.080867,1302,1004.848518
70.664627,6196,1195.301337
67.438755,2789,1284.113764
9.859893,3119,1385.419093
26.35247,4759,1544.601359
25.272109,2737,1628.040765
47.484075,3538,1737.711751
35.396554,9829,2031.606337
88.998617,8395,2293.991502
41.035549,2928,2386.260023
27.214567,3582,2501.355205
15.641438,1462,2548.57223
310.79234,6790,2763.268607
151.247342,10000,3068.491993
207.881664,10000,3380.532513
44.501419,3657,3494.340819
738.725558,10000,3809.782226
633.028842,10000,4123.513496
959.40394,10000,4451.125443
867.189262,10000,4773.742935
763.570022,10000,5102.377919
909.605423,10000,5426.049911
783.579605,10000,5753.827398
780.381746,10000,6075.540692
1242.769772,10000,6399.259234
1111.426329,9729,6713.575398
717.599905,10000,7036.954149
1129.773008,10000,7362.184894
724.782991,10000,7686.403047
1119.474031,10000,8009.511944
1081.610525,10000,8334.868797
1410.077651,10000,8656.953521
1524.04277,10000,8981.21107
516.555124,10000,9300.908846
1350.483011,10000,9622.189017
756.486137,10000,9940.434489
1266.35452,10000,10261.113853
1437.945473,10000,10586.478907
908.22828,10000,10909.722827
739.788904,10000,11232.068553
1240.221009,10000,11559.995963
1159.161185,10000,11887.241532
924.343154,10000,12218.039847
896.476436,10000,12542.909034
802.541222,10000,12867.333572
924.86005,10000,13190.044527
1027.901342,10000,13516.726762
1256.827461,10000,13841.850713
1415.547817,10000,14171.884729
1394.181501,10000,14501.030532
1515.167775,10000,14830.763532
1254.235135,10000,15157.858668
1387.108194,10000,15491.975253
1251.339883,10000,15818.958237
1334.936189,10000,16155.344337
1176.972892,10000,16487.223025
953.593409,10000,16817.525826
934.445165,10000,17138.224831
1561.473083,10000,17458.5684
269.005601,2755,17550.646341
1251.716209,10000,17879.834583
1394.897505,10000,18206.495414
1160.590724,10000,18536.138673
1407.819109,10000,18864.658031
1376.825888,10000,19197.555602
1157.702287,10000,19529.193468
1166.460746,10000,19860.176526
931.512068,10000,20187.753778
1365.88089,10000,20521.000108
1407.221457,10000,20850.999556
1542.135531,10000,21185.255803
1438.599686,10000,21517.539824
731.499944,10000,21850.344555
1368.140791,10000,22178.120951
1134.202423,9822,22503.77481
1007.822348,9973,22830.560009
1106.404138,8847,23115.253754
962.223904,8408,23379.207138
783.702218,10000,23694.515178
843.653606,10000,24016.374345
1361.722065,10000,24342.522306
915.985497,10000,24667.37683
1157.933848,10000,24996.911014
1318.404549,10000,25324.336601
1201.485168,10000,25653.468185
1277.995686,10000,25982.402248
870.553609,10000,26320.615202
1292.159867,10000,26651.050619
1338.447904,10000,26985.347978
1164.979745,10000,27315.736321
1102.428201,10000,27646.592948
1242.015944,10000,27973.860477
1332.881369,10000,28306.17159
1455.455195,10000,28638.409271
928.352135,10000,28977.258555
1411.43087,10000,29308.057413
1279.515108,10000,29638.837136
777.476509,10000,29973.097623
1432.336275,10000,30303.906007
710.703676,10000,30637.20177
1531.03625,10000,30972.881231
1495.068428,10000,31307.591298
1217.635232,10000,31645.75234
1265.250905,10000,31978.024252
1464.303352,10000,32316.681319
