#{"t_start": 1642424115.5825677, "env_id": null}
r,l,t
10.177255,135,4.202307
5.536832,40,6.061271
3.815659,52,8.258933
7.6655,144,12.797697
0.361179,22,14.245951
2.190457,78,17.020208
3.041494,70,19.646644
0.62527,16,20.961502
0.558565,17,22.298421
-0.396778,11,23.600841
24.656096,156,28.236163
2.244472,52,30.450158
1.854935,21,31.902119
8.336367,213,38.046769
1.79134,30,39.831334
0.498711,31,41.535123
-0.109522,15,42.836967
17.109545,78,45.630476
1.497143,17,46.982341
-0.420057,7,48.107692
1.910312,34,49.982126
1.751155,27,51.573975
0.138395,13,52.82935
1.90897,178,57.970541
-0.58909,20,59.383824
-0.085751,25,61.024114
7.871934,219,67.22073
1.89342,46,69.287139
-4.425896,83,72.294422
-0.427094,27,73.89492
0.333588,24,75.391579
-0.212821,13,76.632142
-3.372253,70,79.463266
4.291547,83,83.798949
3.47599,58,86.122969
0.073549,31,87.810743
-0.412736,16,89.180152
20.948321,111,92.81019
-0.950712,57,95.230172
2.962758,84,98.158744
-9.000119,68,101.014512
6.011487,46,103.612048
19.350822,161,108.385554
1.547275,32,110.101797
-0.291103,17,111.55996
-0.561078,8,112.705557
-0.223352,11,113.921066
54.409112,86,116.958039
2.654548,31,118.636291
1.359901,53,120.823071
1.145617,33,122.670421
1.124026,28,124.265533
-0.406629,28,125.895672
1.042602,43,127.856706
1.669668,37,129.669263
1.438289,50,131.896436
8.430278,229,138.282488
0.01625,11,139.495661
12.145124,150,144.125419
4.114865,129,148.463639
-0.002286,11,149.665148
0.113502,20,151.205739
2.443587,30,152.87693
5.880641,60,155.378142
1.072542,54,157.630076
-4.539593,78,160.626971
-3.246935,78,163.451144
1.449867,34,165.532273
0.55273,17,166.88114
2.118443,34,168.642248
1.827443,43,171.988164
4.394029,284,179.524889
0.649836,19,181.056347
31.16311,184,186.510579
20.767642,243,193.196563
1.793677,35,194.982219
8.340174,86,198.45835
4.295334,162,203.422792
-1.031117,27,205.145251
-0.245133,17,206.591424
2.787009,212,213.024748
13.069353,115,216.72887
-0.071953,17,218.101248
1.823977,117,222.110047
-0.363412,13,223.482777
-12.465467,90,226.680843
2.858443,129,230.684968
-0.052245,20,232.097106
23.325371,132,236.167263
0.330466,25,238.452113
3.972765,66,240.947248
0.741729,28,243.650106
-0.274754,17,245.064766
6.147383,65,247.571314
3.865509,42,249.514194
12.444901,417,260.989033
9.10021,98,264.581057
0.601742,20,266.013583
1.248685,28,267.633328
2.731711,78,270.453977
-0.294896,19,271.965045
0.359496,23,273.469654
0.035513,20,275.141092
6.288265,230,281.486759
1.688006,37,283.324504
-0.306259,10,284.529579
2.664792,79,287.335892
-0.160364,22,288.809051
4.257676,33,290.573729
8.617449,109,294.176307
-0.32117,12,295.425209
0.484876,16,296.766544
1.313156,59,299.114566
3.604065,50,301.241184
-0.448729,10,302.548258
-0.133737,24,304.075508
-0.614947,32,305.790665
0.596144,22,307.258323
3.586363,126,311.179326
0.251302,19,312.576723
0.565474,19,314.098191
3.196729,77,316.977836
0.825202,34,318.745353
-0.648302,24,320.279332
1.386946,24,321.802816
0.551156,40,323.817041
5.744259,51,326.143303
-0.543892,14,327.431791
1.40107,29,329.179286
2.780874,38,332.350075
4.923865,59,334.698368
61.455816,89,337.904009
-0.075163,11,339.140799
-0.272247,15,340.448839
1.210949,69,343.125714
1.209919,19,344.51836
3.89665,37,346.323657
4.258841,26,347.998855
0.257384,14,349.29669
1.270487,73,351.960505
1.307612,31,353.638386
17.351877,186,358.958033
1.985423,27,360.665108
-0.313835,11,361.904157
0.151169,11,363.335807
6.112534,56,365.852795
13.948249,148,371.493555
2.495038,30,373.160632
0.001017,43,375.151877
7.051172,118,378.866069
10.324511,94,382.072778
-0.355679,15,383.501938
9.411236,159,388.560197
29.673154,334,397.295847
3.736786,139,401.638984
11.037409,98,404.90539
3.305877,37,406.860439
20.020349,156,412.581496
0.205903,23,414.093488
6.772666,66,416.620667
-3.261286,153,421.994835
1.75642,115,426.020535
2.818404,59,428.486334
1.550255,82,431.364131
0.103298,30,433.041254
3.436623,85,435.987938
1.878774,31,437.660165
24.124359,255,444.651439
8.113458,208,450.464528
14.971426,267,457.734797
0.807218,18,459.116658
7.162465,144,463.480517
1.880334,31,465.164206
0.697466,37,466.987598
14.075633,94,470.205886
1.514911,26,471.754765
0.391411,29,473.514514
-0.375643,19,474.98617
-1.015989,21,476.641157
1.514267,20,478.055587
0.098065,15,479.477042
0.255563,28,481.235543
4.60185,137,486.396481
8.893237,135,490.509303
-0.503672,30,492.28166
3.529741,86,495.29459
0.298452,25,496.823178
8.547074,93,500.080756
3.357888,43,502.052988
