"[1.212 0.000 1.154 0.000 0.000 0.768 0.000 0.000 0.000 1.547 0.000 1.400
 1.000 0.383 1.000 -1.000 0.975 0.868]",,
,0.2933753037574902,
,,0.29336858353399914
"[0.000 0.340 0.729 0.000 0.949 0.833 0.000 0.707 1.202 2.250 1.249 0.000
 -0.923 1.000 -1.000 -1.000 -1.000 -0.504]",,
,0.29254336102989953,
,,0.29253975822778716
"[0.125 0.000 0.588 0.000 0.609 0.269 0.000 0.311 0.422 0.078 0.000 0.071
 0.503 -1.000 -0.438 0.568 0.326 1.000]",,
,0.2938615244781621,
,,0.2938271660604962
"[0.000 0.000 0.000 0.000 0.061 0.000 0.000 0.000 0.000 0.927 0.000 0.212
 -0.142 0.705 -0.569 -0.359 0.084 0.660]",,
,0.2934233573230113,
,,0.2934226254513991
"[0.000 1.260 0.000 0.016 0.000 1.232 0.000 1.097 0.541 1.332 1.502 1.448
 -0.048 1.000 -0.248 -0.767 -0.123 0.538]",,
,0.29427049070951194,
,,0.29427043979731055
"[0.911 0.000 0.000 0.000 0.000 0.000 0.000 1.658 0.000 2.104 0.617 0.000
 -1.000 -1.000 -1.000 0.330 -0.417 1.000]",,
,0.2876553521152541,
,,0.2875359641256099
"[0.011 0.000 0.000 0.000 1.591 0.958 0.920 0.642 1.157 0.000 0.000 0.723
 -0.575 -1.000 -1.000 1.000 -0.754 -0.211]",,
,0.29405251689894246,
,,0.29405188968373097
"[1.159 0.000 0.000 0.948 0.446 0.000 0.000 0.431 0.000 0.000 0.000 2.623
 -0.133 0.633 -0.553 1.000 -0.990 -0.378]",,
,0.2963323221795114,
,,0.2963282395469207
"[0.000 0.617 0.699 0.215 0.000 0.000 0.588 0.347 1.291 0.000 0.000 0.000
 -1.000 -0.912 -1.000 1.000 0.694 -0.465]",,
,0.2939471813443784,
,,0.2939462801348955
"[1.829 0.885 0.000 0.000 0.071 0.695 0.000 0.000 0.000 0.070 0.657 0.144
 -0.004 0.182 -0.144 -0.046 1.000 -0.329]",,
,0.29740303091590803,
,,0.2973760223435252
"[0.564 0.000 0.000 0.000 0.000 0.106 0.000 0.000 0.082 0.000 0.000 0.000
 -1.000 0.788 -1.000 1.000 0.692 -0.218]",,
,0.29382214515568644,
,,0.2938204979857333
"[0.759 0.215 0.000 0.048 0.000 0.942 0.275 0.393 0.000 1.317 0.717 1.717
 1.000 -0.482 -1.000 -0.350 0.449 -1.000]",,
,0.29457909518750564,
,,0.2945779600400307
"[0.043 0.458 0.000 0.000 0.000 1.427 0.000 0.000 0.766 0.264 0.000 1.648
 -0.955 -1.000 -1.000 -0.262 -0.635 -1.000]",,
,0.29627294374474006,
,,0.29626091856292497
"[0.223 0.000 0.000 0.000 0.000 0.000 1.301 0.319 2.183 0.000 0.000 0.000
 -0.141 1.000 0.935 0.056 0.052 0.116]",,
,0.2935180327635909,
,,0.2934632421804225
"[0.000 0.000 0.000 0.000 2.359 0.596 0.000 0.000 0.000 0.000 0.000 0.000
 0.460 -0.613 0.828 0.605 -0.064 -0.242]",,
,0.2949401173024236,
,,0.2949340426259114
"[0.000 0.342 0.000 1.814 0.000 0.074 1.680 0.000 0.315 0.949 0.034 0.599
 0.226 -0.113 -0.300 -1.000 -0.342 0.366]",,
,0.29293552802433387,
,,0.29292057182210934
"[0.000 0.038 1.292 0.000 1.276 1.141 0.000 1.691 0.269 1.503 0.000 0.000
 -0.749 -0.316 0.979 0.372 0.724 -0.676]",,
,0.29442745414743005,
,,0.29442618550510935
"[0.000 0.000 1.310 0.526 1.342 0.100 0.000 0.000 0.881 0.000 1.765 0.000
 0.233 1.000 -1.000 -0.204 -0.271 0.005]",,
,0.29441619018255294,
,,0.29440576437782723
"[1.583 0.672 1.280 0.000 1.045 0.889 0.000 0.000 0.000 0.510 1.474 0.488
 1.000 0.334 -1.000 0.596 -1.000 0.229]",,
,0.2944900709798528,
,,0.29447691527710657
"[2.206 2.067 0.000 1.679 0.279 0.000 0.000 0.000 0.000 0.640 0.000 1.418
 1.000 1.000 0.923 0.590 -0.294 -1.000]",,
,0.2945808145856926,
,,0.2945444134623724
"[1.264 0.000 0.786 0.485 0.000 0.804 0.688 1.830 0.000 0.493 0.000 0.784
 0.999 -1.000 -0.485 -0.189 0.388 -0.072]",,
,0.2935956279392019,
,,0.29359444007233776
