"[0.000 0.991 0.000 2.184 0.234 0.000 0.214 0.000 0.000 1.938 2.273 0.000
 0.549 -0.508 1.000 -0.590 1.000 -1.000]",,
,0.2944326183008452,
,,0.2944309933141908
"[1.214 0.000 1.154 0.000 0.000 0.766 0.000 0.000 0.000 1.549 0.000 1.396
 1.000 0.385 1.000 -1.000 0.977 0.869]",,
,0.29590515459950745,
,,0.29589618356892866
"[0.000 0.000 0.378 0.000 0.034 0.158 0.000 0.000 0.000 0.099 0.227 0.000
 -1.000 -1.000 -0.898 -0.350 -0.466 1.000]",,
,0.29186638062484344,
,,0.29185057517064794
"[0.000 0.339 0.731 0.000 0.952 0.834 0.000 0.707 1.202 2.248 1.247 0.000
 -0.921 1.000 -1.000 -1.000 -1.000 -0.504]",,
,0.2935233584416208,
,,0.2935199005645611
"[0.040 0.000 0.986 0.000 0.000 1.033 0.000 0.036 1.361 0.332 0.358 0.807
 1.000 0.569 0.022 -0.094 -0.905 0.818]",,
,0.2917556080544481,
,,0.29170507263611145
"[0.161 0.000 0.579 0.000 0.579 0.262 0.000 0.409 0.417 0.055 0.000 0.031
 0.545 -1.000 -0.453 0.557 0.298 1.000]",,
,0.29371515217409666,
,,0.29368155341908553
"[0.000 0.000 0.000 0.000 0.000 0.235 0.876 0.063 0.199 0.697 1.860 0.000
 1.000 -1.000 1.000 0.926 -0.220 -1.000]",,
,0.2927435179800485,
,,0.29274145402557517
"[0.000 0.000 0.000 0.000 0.012 0.000 0.000 0.000 0.000 0.929 0.000 0.205
 -0.134 0.685 -0.585 -0.378 0.064 0.663]",,
,0.2934331563177344,
,,0.2934323993955043
"[0.359 0.295 0.000 0.000 0.617 0.000 1.135 0.000 0.000 1.913 1.584 0.000
 -1.000 -0.752 0.427 -0.281 1.000 1.000]",,
,0.29812821704160936,
,,0.2981033944328222
"[0.013 1.261 0.000 0.000 0.000 1.220 0.000 1.199 0.486 1.346 1.523 1.442
 -0.002 0.980 -0.245 -0.792 -0.137 0.568]",,
,0.2943710813461476,
,,0.29437102655804137
"[0.000 0.000 0.000 2.401 3.333 0.000 1.556 0.754 1.645 0.390 0.845 0.000
 0.856 0.350 0.747 -1.000 -0.514 0.688]",,
,0.29573939176475444,
,,0.29572109684200837
"[0.952 0.000 0.000 0.000 0.000 0.000 0.000 1.519 0.000 2.131 0.674 0.000
 -1.000 -1.000 -1.000 0.238 -0.515 1.000]",,
,0.28828890713174016,
,,0.28816266171959504
"[1.701 0.506 0.000 0.000 1.330 0.333 0.000 0.181 0.008 1.320 1.049 0.872
 1.000 -1.000 -0.912 -0.037 0.067 0.098]",,
,0.29504505307668827,
,,0.29499887094442406
"[0.014 0.000 0.000 0.000 1.615 0.923 0.924 0.536 1.284 0.000 0.000 0.804
 -0.650 -1.000 -1.000 1.000 -0.814 -0.335]",,
,0.29422216646298177,
,,0.2942213902246922
"[0.000 0.289 0.976 1.173 1.564 0.000 0.614 1.027 0.000 0.000 0.000 1.052
 1.000 -1.000 -0.069 -1.000 -1.000 -1.000]",,
,0.2923783807547217,
,,0.29236946613258313
"[1.221 0.000 0.000 0.761 0.525 0.000 0.000 0.425 0.000 0.000 0.000 2.601
 -0.030 0.633 -0.447 1.000 -0.997 -0.494]",,
,0.29579736896197434,
,,0.295794091262818
"[0.146 0.000 0.000 0.418 0.000 0.000 0.122 0.717 0.898 1.080 0.000 0.000
 0.958 0.620 0.891 -0.426 0.005 0.241]",,
,0.2936881271437459,
,,0.293684425042329
"[0.000 0.450 0.654 0.273 0.000 0.000 0.578 0.366 1.315 0.000 0.000 0.038
 -1.000 -0.952 -1.000 1.000 0.753 -0.365]",,
,0.294703246598157,
,,0.29470182688691765
"[0.034 1.608 0.000 0.426 1.187 0.000 0.000 0.000 0.000 0.000 0.000 0.000
 -0.192 -1.000 0.711 -0.582 -0.000 -0.441]",,
,0.29626577276335897,
,,0.29623886269389543
