#{"t_start": 1642424150.0831108, "env_id": null}
r,l,t
33.706299,500,12.785517
29.663089,500,25.624406
18.719132,500,38.379749
15.979835,500,51.241144
32.296723,500,65.478007
26.782222,500,79.060259
71.415125,500,91.921475
19.176712,500,104.647187
46.632166,500,120.389563
28.78643,500,133.386889
59.38321,500,146.228297
22.244575,500,158.797993
42.391065,500,173.267074
35.216731,500,186.09034
36.004426,500,198.803136
29.785815,500,212.045245
29.351146,500,227.894509
61.466083,500,240.776018
8.475774,500,253.461766
56.13392,500,266.152347
13.618146,500,280.703078
22.60073,500,293.617875
27.548589,500,306.653731
37.823909,500,319.403077
54.871256,500,335.929723
32.79761,500,349.41151
47.916216,500,362.425364
30.449907,345,371.527647
37.007669,500,388.386872
75.847509,500,401.21324
22.571161,500,414.617862
50.928364,500,427.331397
63.163065,500,440.159939
17.132155,500,454.895463
47.080764,500,468.068377
8.683405,500,480.724262
53.18586,500,493.62175
12.791565,500,507.852526
33.007971,500,520.76857
36.976912,500,534.130033
51.882116,471,546.47731
48.471755,500,561.572326
37.878916,500,575.022644
60.076038,500,587.801381
17.941453,500,600.535464
76.876501,500,614.901685
41.963835,500,628.460139
90.490252,500,641.201964
48.86949,500,654.324217
36.540832,500,668.260673
29.318325,500,681.687108
64.657449,500,694.514652
32.313275,500,707.431137
58.450602,500,721.439511
24.797676,500,734.440022
41.353597,500,748.330158
26.407261,500,761.232122
34.413574,500,775.589487
68.347784,500,788.502393
55.719699,500,801.693802
62.933787,500,814.663583
29.437244,500,828.564615
37.146415,500,841.656508
53.232442,500,854.501575
24.689782,500,867.566063
55.379359,500,883.00051
58.190111,500,896.602704
67.226823,500,910.47727
61.740851,500,923.314271
33.018635,500,936.364143
58.540715,500,950.727437
48.369936,500,965.284101
61.597452,500,978.713391
36.087847,500,991.297835
47.078654,500,1006.732271
66.363502,500,1020.034419
46.86046,500,1033.994233
79.552236,500,1046.715728
49.753992,500,1061.608183
39.082728,500,1076.336068
34.69944,500,1090.563648
44.647332,500,1103.194202
21.996675,500,1117.22752
83.22942,500,1130.210642
41.448535,500,1143.38995
37.957819,500,1156.135082
34.832946,500,1171.237642
32.528973,500,1184.010517
91.672737,500,1197.874072
64.534715,500,1211.227608
29.479073,500,1225.430887
84.864197,500,1238.12665
41.348692,500,1251.302429
65.115691,500,1264.454961
78.607749,500,1278.870915
54.879981,500,1291.730644
71.20248,500,1304.797365
49.877188,500,1317.875103
33.571921,500,1332.097538
53.156361,500,1344.890562
28.580959,500,1358.023345
65.270342,500,1371.019733
35.805397,500,1385.502469
52.914856,500,1398.338927
33.051442,500,1411.183784
58.307804,500,1424.63813
35.630063,500,1440.606634
45.181427,500,1453.427625
44.680492,500,1466.867081
41.698953,500,1479.747296
38.400289,500,1493.950155
43.306601,500,1507.177747
34.494355,500,1520.37242
45.324863,500,1534.224421
34.454647,500,1547.067552
40.229228,500,1562.56751
63.009082,500,1575.654414
72.856991,500,1588.322414
27.911374,500,1601.700186
31.235503,500,1616.312554
41.263544,500,1629.818278
33.366913,500,1642.613497
27.61276,500,1655.597924
33.66707,500,1669.983243
43.489755,500,1682.780997
67.418807,500,1696.045298
59.396617,500,1709.077793
54.644686,500,1723.756833
66.119734,500,1736.708
37.898179,500,1749.804072
46.280469,500,1762.65788
37.417855,500,1779.067045
39.251178,500,1792.655533
39.390158,500,1805.606201
32.329804,500,1818.472802
62.81957,500,1834.404912
37.954045,500,1847.249852
38.739938,500,1860.298304
26.837336,500,1873.273841
28.48492,500,1889.765174
59.532834,500,1902.988004
76.687401,500,1915.847259
32.395113,500,1928.896805
38.133301,500,1943.611865
26.570858,500,1956.805686
71.183191,500,1969.447801
54.853774,500,1982.311935
29.209408,500,1996.358271
83.282573,500,2009.316176
65.819174,500,2023.215936
80.537062,500,2035.982779
54.99585,500,2050.313932
76.244966,500,2063.209827
75.864742,500,2077.433161
62.124888,500,2090.501399
47.345545,500,2103.405681
43.693821,500,2118.696461
32.895539,500,2132.561687
75.703408,500,2145.444894
60.107337,500,2158.528339
43.971292,500,2174.810622
52.31144,500,2187.725323
77.241144,500,2200.763356
43.59378,500,2213.369083
67.378441,500,2227.835383
47.013301,500,2240.870636
39.00482,500,2253.937649
50.258964,500,2267.229373
45.63531,500,2282.080055
45.993249,500,2294.763959
29.227908,500,2308.559026
42.068588,500,2321.330306
29.441674,500,2335.263077
24.182309,500,2347.886875
77.59793,500,2361.472132
39.514716,500,2375.676659
32.85981,500,2390.364869
33.533358,500,2402.984396
84.495495,500,2416.164547
44.155869,500,2428.912645
50.430482,500,2443.432143
82.032556,500,2456.180976
56.005455,500,2469.257163
60.55781,500,2483.094938
48.428733,500,2498.089152
31.171771,500,2510.833091
30.965492,500,2524.203329
22.28572,500,2540.36179
44.09929,500,2554.848132
30.911736,500,2567.527979
42.328592,500,2580.423563
41.814322,500,2593.704174
78.781882,500,2608.48329
29.75967,500,2621.180506
74.338251,500,2634.968427
60.831316,500,2647.588929
35.21506,500,2662.714031
29.842877,500,2675.374658
38.105336,500,2688.708898
48.329263,500,2701.800793
31.817963,500,2717.715201
73.91928,500,2732.080282
51.956273,500,2745.165037
65.056753,500,2758.345201
52.080847,500,2772.246004
43.59264,500,2786.999857
27.023483,500,2799.923311
31.188042,500,2812.672262
36.463787,500,2825.600934
34.484108,500,2842.816703
59.004871,500,2855.862655
62.677478,500,2868.526233
43.272108,500,2882.244789
25.722772,500,2897.475033
31.841885,500,2910.337967
62.033314,500,2922.952408
26.501391,500,2936.498482
52.287317,500,2952.21001
43.313788,500,2965.423187
59.118436,500,2978.022043
48.624667,500,2990.884834
61.436402,500,3005.247963
61.231483,500,3018.228169
47.106227,500,3030.815402
34.761512,500,3044.564499
23.822392,500,3058.324348
36.750304,500,3071.318337
21.579897,500,3085.467795
33.193491,500,3098.471913
42.799335,500,3114.346699
48.277731,500,3127.382052
60.608149,500,3140.279194
28.86112,500,3153.256453
39.353791,500,3167.366904
49.858132,500,3180.594267
74.673022,500,3193.844045
30.112224,500,3206.604384
50.335254,500,3220.467121
41.202285,500,3233.359455
53.122303,500,3247.412332
51.715718,500,3261.320591
33.622491,500,3273.938153
70.460654,500,3288.974386
47.926867,500,3301.906703
59.407837,500,3315.589738
53.206745,500,3328.335006
30.800914,500,3342.95896
32.730715,500,3355.625419
39.876356,500,3368.677168
66.584642,500,3381.414216
58.886268,500,3395.882329
48.323978,500,3408.977638
45.583641,500,3421.7303
35.675048,500,3434.507197
60.51715,500,3448.799016
70.110583,500,3463.395128
52.643214,500,3476.263508
62.021539,500,3489.142757
46.79454,500,3503.079766
24.410026,500,3517.067331
34.151004,500,3531.349709
31.808934,500,3544.356779
31.962922,500,3558.402739
40.270197,500,3571.207375
51.293381,500,3584.037087
46.420134,500,3596.535721
63.895968,500,3611.197262
68.649471,500,3623.818138
50.727712,500,3638.179647
42.832044,500,3650.933843
65.516736,500,3664.943812
19.860253,500,3677.654766
76.529908,500,3690.484422
31.376375,500,3703.95171
42.778175,500,3718.400914
54.380757,500,3731.085906
86.122963,500,3744.460022
74.09992,500,3757.942091
34.20332,500,3772.140133
45.119111,500,3785.387127
75.128703,500,3798.685508
37.634894,500,3811.364504
77.380767,500,3826.001185
31.88017,500,3838.544894
45.338236,500,3852.104131
38.636963,500,3864.954549
34.931158,500,3878.25826
40.438917,500,3894.528676
39.00423,500,3907.942662
53.059435,500,3921.153887
46.564396,500,3934.04615
36.390799,500,3949.65478
37.863071,500,3962.544638
37.220134,500,3975.690393
57.278293,500,3989.021924
26.528934,500,4004.484471
44.292312,500,4017.695491
31.275989,500,4030.877021
40.949115,500,4044.599005
34.244797,500,4058.370764
34.919332,500,4071.514672
57.252397,500,4084.303099
26.251458,500,4098.447283
58.564755,500,4112.722697
24.985634,500,4126.121607
31.460814,500,4138.76579
35.423962,500,4151.88185
23.482422,500,4166.36308
60.019842,500,4179.300817
50.222325,500,4192.407491
58.205476,500,4205.846247
67.64453,500,4220.187197
27.170344,500,4233.339792
28.85284,500,4246.099434
28.931812,500,4259.943897
47.875102,500,4275.346388
28.105915,500,4288.202104
47.886595,500,4300.995153
43.554163,500,4314.518797
51.175128,500,4328.936266
35.444554,500,4341.826355
36.047166,500,4354.816972
52.876384,500,4368.033813
38.095418,500,4382.067339
32.199928,500,4394.954009
29.547192,500,4408.146232
70.708053,500,4421.522216
26.296838,500,4434.159274
22.004082,500,4449.130475
36.533441,500,4461.812177
30.87708,500,4474.75636
66.433666,500,4487.396365
42.747542,500,4503.157877
50.422558,500,4516.006025
40.788763,500,4528.918593
67.865062,500,4542.397853
56.684286,500,4556.616816
51.449742,500,4569.353185
75.387305,500,4582.437244
72.218266,500,4595.476489
30.773645,500,4610.917622
42.117512,500,4624.37688
42.686097,500,4637.527115
41.668375,500,4651.490146
34.696175,500,4665.621586
73.01485,500,4678.841726
46.272488,500,4691.822813
31.944296,500,4704.709524
80.023588,500,4719.199471
18.800898,500,4732.163398
63.661458,500,4745.236037
45.946222,500,4758.216022
59.717341,500,4772.84212
69.100537,500,4786.018486
52.748824,500,4799.119571
64.411119,500,4811.805601
39.66607,500,4826.407445
58.470927,500,4839.152993
55.165227,500,4852.223927
34.484731,500,4864.926912
31.741174,500,4879.422002
38.357155,500,4892.255395
42.757204,500,4905.387458
47.557916,500,4919.214516
32.23583,500,4933.605028
33.721281,500,4946.214052
48.511138,500,4959.123022
40.574755,500,4971.925857
41.671324,500,4984.956921
43.412283,500,5000.418917
27.807652,500,5013.164189
62.723712,500,5025.921651
51.954872,500,5038.716625
23.682093,500,5056.946043
66.186206,500,5069.867378
41.471219,500,5082.855345
37.023051,500,5096.033824
43.043187,500,5111.645937
50.782014,500,5124.591764
63.804768,500,5137.95352
44.97309,500,5151.705836
53.989205,500,5167.246788
71.124705,500,5181.93468
36.745236,500,5194.616915
79.62471,500,5207.923099
40.119589,500,5221.914323
36.552498,500,5235.204272
61.111999,500,5248.099858
33.283681,500,5261.443111
42.507214,500,5277.366641
40.581334,500,5290.336687
53.288393,500,5303.939063
40.512963,500,5317.15463
67.831275,500,5331.379471
39.105744,500,5345.61054
66.30146,500,5358.950654
36.745944,500,5371.768587
43.568388,500,5385.629203
66.606279,500,5398.564326
65.857642,500,5411.212103
59.851565,500,5424.471745
43.929102,500,5439.24799
50.772454,500,5452.269167
36.600699,500,5465.724389
46.396364,500,5478.682898
32.161892,500,5492.679559
43.96939,500,5505.627004
80.366009,500,5518.508073
41.18504,500,5531.555732
46.610565,500,5545.334115
43.836151,500,5558.247214
52.767801,500,5570.975065
77.479601,500,5584.281337
33.102455,500,5596.985122
35.186705,500,5612.647215
74.151347,500,5625.379575
23.11743,500,5638.6642
37.045356,500,5651.543893
51.933827,500,5668.099874
36.578182,500,5681.399979
70.227883,500,5694.416505
66.781394,500,5707.009395
56.087881,500,5721.318906
43.526761,500,5735.37328
46.233955,500,5748.556703
53.718464,500,5761.200783
105.06961,500,5776.300064
44.914672,500,5789.709173
57.763705,500,5802.581276
45.905307,500,5815.264655
62.430975,500,5829.62952
74.523163,500,5842.461331
38.992124,500,5855.777203
58.628729,500,5868.484927
75.884424,500,5882.717398
84.355017,500,5897.094949
35.851763,500,5910.12872
30.304001,500,5922.97225
49.483168,500,5937.083164
28.972591,500,5951.152187
73.738493,500,5964.701476
58.125071,500,5977.637018
42.662675,500,5991.753203
31.436255,500,6004.904958
42.574773,500,6018.492704
63.753772,500,6031.457329
32.585768,500,6046.826511
62.725524,500,6060.686427
31.749372,500,6074.076391
40.000093,500,6087.421888
55.334945,500,6101.836667
45.651461,500,6114.741407
27.784109,500,6127.798114
37.025891,500,6140.503758
35.357767,500,6153.557485
35.870726,500,6168.65714
57.55916,500,6182.236418
32.777397,500,6195.138916
31.6953,500,6208.611001
43.553971,500,6222.343715
69.886831,500,6235.312211
42.980086,500,6248.200658
34.962822,500,6261.828231
37.778404,500,6278.471911
71.927914,500,6292.010504
47.092261,500,6304.546439
35.187554,500,6319.203841
43.527379,500,6333.064029
28.033606,500,6346.990413
48.460163,500,6359.815473
64.74999,500,6373.047834
29.356676,500,6387.600227
65.69645,500,6400.653631
62.903374,500,6414.039026
19.338028,500,6426.925528
25.021073,500,6441.80159
76.45493,500,6454.797088
51.954855,500,6468.409302
30.844594,500,6482.401038
77.234686,500,6498.927632
53.203007,500,6512.118688
42.444277,500,6525.089796
61.375184,500,6538.211706
56.825665,500,6552.684944
36.295788,500,6565.455921
36.951111,500,6578.118013
34.94771,500,6592.846892
51.2754,500,6607.732683
50.806801,500,6621.981265
68.697558,500,6634.547214
29.249606,500,6647.83443
22.579262,500,6662.709565
46.109007,500,6676.109335
42.698078,500,6688.968286
50.728516,500,6702.053384
71.784709,500,6716.14268
76.039957,500,6729.802775
56.310217,500,6743.190572
32.448924,500,6756.121561
45.268389,500,6768.815616
43.873975,500,6782.925271
68.262706,500,6797.78582
37.534987,500,6810.859814
32.877647,500,6823.742449
58.864474,500,6839.136401
25.777866,500,6851.971607
32.768403,500,6865.058454
52.701209,500,6877.973107
34.752487,500,6892.088996
31.729598,500,6904.669839
84.203129,500,6917.810765
30.454283,500,6930.329757
73.887015,500,6944.615187
47.208581,500,6958.735994
29.418282,500,6972.02954
23.531049,500,6984.7099
41.778937,500,6998.893197
24.878233,500,7012.494902
40.173636,500,7026.173284
46.320486,500,7038.986214
65.049298,500,7053.101682
47.224204,500,7065.832141
51.848672,500,7078.575939
36.243421,500,7091.181628
28.531743,500,7105.369133
43.403342,500,7119.904413
46.059463,500,7133.054716
29.282823,500,7145.722571
44.458934,500,7160.022032
51.786613,500,7173.619521
47.092444,500,7187.12686
31.714753,500,7200.129314
56.866404,500,7215.673203
21.315091,500,7228.985624
36.683619,500,7242.159202
31.611529,500,7254.815392
24.440116,500,7269.125108
34.634488,500,7283.7732
53.625543,500,7297.257407
35.759841,500,7310.212382
52.343571,500,7323.027386
47.030183,500,7337.324574
23.60834,500,7353.757187
60.133999,500,7366.504938
53.928648,500,7379.39029
46.136081,500,7393.983389
49.113722,500,7408.725696
50.64115,500,7423.954324
58.984348,500,7436.744262
30.282227,500,7451.152888
54.28142,500,7464.705518
73.179338,500,7478.590184
72.981226,500,7491.596602
40.951821,500,7505.518087
39.414093,500,7518.48311
36.521602,500,7532.018028
31.547841,500,7545.095336
63.14641,500,7559.213956
71.19695,500,7571.932507
36.198072,500,7584.484206
30.041646,500,7599.21748
61.965192,500,7614.509664
56.266276,500,7627.449624
28.945322,500,7640.157768
24.100373,500,7653.472149
38.813115,500,7668.662377
50.247708,500,7681.420405
34.960468,500,7694.11587
41.711526,500,7707.918924
40.811681,500,7722.530999
57.150319,500,7735.360578
61.261578,500,7748.577725
83.203779,500,7761.633189
42.704696,500,7777.250504
50.482275,500,7790.263237
55.825471,500,7802.992841
61.786008,500,7816.083971
96.286431,500,7831.031908
84.251244,500,7844.194524
67.018752,500,7857.153776
49.241651,500,7870.278481
52.172241,500,7883.2877
76.878895,500,7898.664778
67.88069,500,7911.321168
32.400686,500,7924.707919
35.647685,500,7938.233059
94.862509,500,7953.920114
53.218004,500,7967.167649
43.399493,500,7979.877476
55.208981,500,7992.636631
35.72631,500,8007.086605
46.991205,500,8021.213428
60.919777,500,8034.265349
49.679196,500,8047.980956
46.076769,500,8061.975043
42.196997,500,8074.709501
30.398639,500,8087.921295
67.063319,500,8101.245499
39.445492,500,8115.5013
61.28684,500,8128.120379
67.623781,500,8141.114129
70.404289,500,8153.852937
30.503443,500,8169.448147
59.287069,500,8182.180388
38.701631,500,8195.0572
35.500986,500,8208.654325
31.928814,500,8222.903219
47.0913,500,8236.060397
47.067394,500,8249.054727
65.800631,500,8263.98743
56.680027,500,8278.25747
46.377773,500,8291.067982
56.52024,500,8303.889456
44.072043,500,8317.56932
23.900509,500,8332.518634
38.185496,500,8345.318395
