"[0.000 0.041 0.000 0.262 0.000 0.000 -0.519 -0.117 1.000 1.000 -0.551
 0.015]",,
,0.2946545776084822,
,,0.29464985666337795
[0.000 0.159 0.175 1.767 1.040 0.000 0.050 -0.265 -0.934 1.000 1.000 0.119],,
,0.29485287078490124,
,,0.2948450960147321
"[0.361 0.000 0.000 0.837 0.747 0.000 1.000 0.895 -0.474 0.071 -1.000
 -0.321]",,
,0.29559445895007863,
,,0.29559393572315606
"[0.000 0.018 0.000 0.000 0.606 0.000 1.000 -1.000 1.000 0.776 -1.000
 -0.873]",,
,0.2945623983598506,
,,0.29455448630418624
"[0.000 0.000 0.000 0.000 0.000 0.000 -0.719 -0.331 -0.040 0.693 -1.000
 -0.317]",,
,0.2948049091971502,
,,0.2948016676611712
[0.000 1.745 0.000 0.528 0.790 0.000 0.483 -0.889 -0.815 1.000 0.461 0.387],,
,0.2920464406191734,
,,0.29202857072405125
[0.000 0.326 0.870 0.000 0.000 1.467 0.222 1.000 -0.221 0.843 -0.790 0.538],,
,0.29850424294362404,
,,0.2984198741261958
[0.534 0.000 0.285 0.291 0.000 0.794 1.000 0.548 -0.461 1.000 -0.396 0.663],,
,0.2944790971975662,
,,0.2944782375990536
"[0.154 0.379 0.638 0.000 0.000 0.000 0.293 0.301 -0.980 -1.000 -0.992
 -0.422]",,
,0.2957012125059835,
,,0.2956963413010581
"[0.000 1.088 0.000 0.636 0.000 0.000 -0.071 0.319 -1.000 -0.406 0.784
 -0.155]",,
,0.29544514650981896,
,,0.29543774996321154
[0.000 0.000 1.122 0.313 0.697 0.000 0.665 1.000 -0.178 0.882 -1.000 0.660],,
,0.2922377603610052,
,,0.29219174597429104
[1.406 0.000 0.000 0.000 0.000 0.000 0.233 0.270 -0.104 0.411 0.847 -1.000],,
,0.2963977592526142,
,,0.2963748801278198
"[0.403 0.102 0.955 0.000 0.273 0.973 -0.742 -0.599 0.640 -0.601 1.000
 0.272]",,
,0.2951022825700244,
,,0.29509958512093976
"[0.968 0.808 1.256 0.000 0.232 0.000 -0.431 1.000 -0.942 -0.348 -1.000
 -1.000]",,
,0.29452568402853213,
,,0.2945115709759766
[0.000 0.066 0.533 0.943 0.805 0.000 0.234 0.144 0.934 0.466 1.000 0.786],,
,0.2933866876666749,
,,0.293364386531151
