#{"t_start": 1642424163.9886436, "env_id": null}
r,l,t
195.248807,1000,25.025888
198.96464,1000,50.062179
116.491635,1000,77.380839
123.079847,1000,102.039762
242.464018,1000,128.42191
101.396257,838,149.355255
180.251253,1000,176.492244
309.277494,1000,202.352001
317.19463,1000,230.398204
141.861819,1000,254.714969
164.169606,1000,281.041351
80.748381,1000,305.578511
96.5172,1000,334.016087
131.933641,1000,358.471378
335.06284,1000,386.468268
201.630864,1000,412.138239
217.618911,1000,438.549401
128.350437,1000,463.52227
175.142098,1000,491.393954
326.577782,1000,515.83969
135.034429,1000,542.351548
125.613993,1000,567.238751
123.720934,1000,593.175576
199.653091,1000,617.700792
103.828215,1000,643.856807
386.8728,1000,669.244157
194.316937,1000,696.176637
283.324455,1000,722.21729
198.073485,1000,749.035807
155.839417,1000,773.743953
137.661836,1000,800.3408
184.58649,1000,825.431385
108.630628,1000,851.808174
251.896971,1000,876.994169
130.714202,1000,903.413543
124.858032,1000,928.017248
205.651486,1000,954.417006
207.652949,1000,980.744214
101.565928,1000,1007.250914
111.256272,1000,1033.151627
114.183655,1000,1060.328371
286.140993,1000,1087.765529
285.381567,1000,1112.890846
269.769357,1000,1138.834137
283.147286,1000,1163.837032
134.096943,1000,1190.610983
314.231712,1000,1216.099784
433.145728,1000,1244.785631
259.337162,1000,1269.754125
231.103384,1000,1296.199423
336.684383,1000,1322.574052
226.815446,1000,1348.679229
88.016454,938,1372.523276
272.497717,1000,1398.258764
231.6919,1000,1423.520627
292.767217,1000,1449.777912
336.771095,1000,1475.01248
237.191163,1000,1501.26407
273.156499,1000,1527.018888
266.826095,1000,1554.873705
346.906794,1000,1579.815824
134.569927,1000,1605.978415
346.999737,1000,1631.079116
164.129335,1000,1657.55624
158.388538,1000,1683.049926
172.489827,1000,1710.62299
355.172004,1000,1736.186299
157.760162,1000,1764.457637
176.070869,1000,1790.600312
92.251895,1000,1819.028781
235.413157,1000,1844.875489
417.823983,1000,1873.76045
229.711821,1000,1898.885867
120.936061,1000,1926.683456
472.080586,1000,1953.610553
137.305127,1000,1979.051407
629.650134,1000,2007.676898
369.393808,1000,2032.613361
457.2816,1000,2060.79262
468.459929,1000,2086.55451
174.12347,1000,2113.99326
480.863879,1000,2139.711304
190.814896,1000,2168.905337
151.73668,1000,2193.484493
253.335445,1000,2219.53901
587.9694,1000,2244.699703
260.213696,1000,2271.195715
380.498815,1000,2297.101973
212.471883,1000,2323.894888
580.55818,1000,2351.693907
290.512065,1000,2378.006846
254.076327,1000,2403.554149
311.63233,1000,2430.349582
287.853982,1000,2455.195395
152.166517,1000,2483.183338
429.7205,1000,2508.275387
325.586806,1000,2538.039924
330.478178,1000,2563.141978
469.31083,1000,2589.790209
258.096452,1000,2615.642111
251.791037,1000,2643.099347
305.672388,1000,2668.618726
587.671864,1000,2696.624452
319.502789,1000,2722.34119
318.171313,1000,2750.968137
679.958744,1000,2777.393772
432.466095,1000,2804.392261
292.596744,1000,2833.324445
