"[1.867 1.245 0.057 1.297 0.000 0.065 -1.000 -0.044 1.000 -1.000 -0.255
 -1.000]",,
,0.29469666905300973,
,,0.2946409065499271
"[0.000 0.041 0.000 0.262 0.000 0.000 -0.519 -0.117 1.000 1.000 -0.551
 0.015]",,
,0.29460766607924227,
,,0.29460398980687924
[1.542 0.000 0.076 1.117 0.000 1.702 1.000 1.000 0.201 0.053 -0.591 -1.000],,
,0.2924454346342854,
,,0.2924259340179412
[0.000 0.159 0.175 1.766 1.041 0.000 0.050 -0.265 -0.935 1.000 1.000 0.119],,
,0.2952299456721087,
,,0.29522148803625453
[1.219 0.000 1.493 0.764 0.000 0.000 0.445 1.000 0.258 1.000 1.000 -0.334],,
,0.29265532760957064,
,,0.29264030864333807
"[0.369 0.000 0.000 0.857 0.700 0.000 1.000 0.861 -0.551 0.039 -1.000
 -0.301]",,
,0.295588100062999,
,,0.29558693142373343
[0.378 0.000 0.000 0.689 0.000 0.000 1.000 -0.907 0.730 0.805 -0.097 1.000],,
,0.2941709529611292,
,,0.2941507166222374
"[0.000 0.023 0.000 0.000 0.642 0.000 1.000 -1.000 1.000 0.770 -1.000
 -0.831]",,
,0.2946292126840303,
,,0.2946242535957196
"[2.008 1.363 0.540 0.590 0.966 0.000 0.285 1.000 -0.926 1.000 -1.000
 -1.000]",,
,0.2943783932977079,
,,0.2943694871787638
"[0.000 0.000 0.000 0.000 0.000 0.000 -0.680 -0.314 -0.206 0.706 -1.000
 -0.335]",,
,0.2942866847918608,
,,0.2942860489460683
"[0.077 0.296 0.938 0.163 0.000 0.462 -1.000 1.000 -0.322 0.358 -0.366
 -0.628]",,
,0.2948127465516764,
,,0.29480623469344325
"[0.000 0.000 0.000 0.205 1.253 0.000 -1.000 0.405 -1.000 -0.263 1.000
 -1.000]",,
,0.2947374529950578,
,,0.2947348771070707
"[0.000 0.000 0.899 0.000 0.000 0.000 0.083 1.000 -0.576 -0.213 0.360
 -0.261]",,
,0.2951837173698313,
,,0.2951748561132445
[0.000 0.804 0.282 0.819 1.065 0.000 0.897 0.196 0.701 0.693 0.978 -0.958],,
,0.2954857495237668,
,,0.2954773713984565
"[0.000 0.000 0.000 0.067 1.267 0.267 0.809 -0.968 -0.097 -1.000 0.403
 -0.978]",,
,0.29402023041772923,
,,0.294017260004667
"[0.893 0.000 0.000 0.650 0.000 0.000 -0.572 0.484 -0.517 -0.196 0.352
 0.304]",,
,0.29387204500075065,
,,0.29386447973143476
[0.000 0.000 0.734 0.000 0.468 1.092 -0.194 0.793 0.061 0.008 0.062 -0.004],,
,0.2945242616234682,
,,0.29452194568386963
"[1.501 1.356 1.338 0.105 0.011 0.000 0.043 0.677 0.036 -0.664 -1.000
 -0.168]",,
,0.2951152117662431,
,,0.29507414298875123
"[0.000 0.493 0.132 0.000 0.000 0.000 -0.585 1.000 -0.455 1.000 -1.000
 -0.546]",,
,0.2954567168489353,
,,0.2954512901833127
"[0.993 0.000 1.920 0.000 1.115 0.000 0.497 -0.839 0.840 -0.222 -0.268
 -0.224]",,
,0.29322848203597784,
,,0.29321983540744273
"[0.000 1.418 0.749 0.000 0.237 0.000 -0.684 0.169 0.134 0.723 -0.710
 -0.603]",,
,0.29500264462116965,
,,0.2950021296709729
"[0.000 0.413 0.000 0.000 0.000 0.000 -0.420 1.000 -0.037 -0.383 1.000
 0.422]",,
,0.29481424008656,
,,0.2948118434727778
[0.000 0.095 0.000 0.903 0.000 0.235 0.970 0.444 0.016 1.000 0.971 0.075],,
,0.29252009967233544,
,,0.29250434869662373
[0.000 1.137 0.000 0.000 2.116 0.599 0.541 1.000 1.000 1.000 0.005 0.033],,
,0.2944441929609532,
,,0.29444288759033416
[0.000 0.000 2.053 0.000 1.027 0.086 -0.490 1.000 0.590 0.793 -0.889 0.269],,
,0.29660822775342033,
,,0.2965889083381862
"[2.930 1.503 0.000 0.000 0.000 0.000 1.000 -0.680 1.000 -0.643 -0.440
 0.998]",,
,0.2912637377203135,
,,0.2912024662041523
[0.739 0.000 1.661 0.000 0.000 0.000 0.965 0.325 0.461 0.368 -1.000 0.342],,
,0.29434459309980254,
,,0.2943373492861022
[0.000 0.000 0.795 0.000 0.000 0.000 -1.000 -0.175 1.000 0.635 0.254 1.000],,
,0.29650799314973825,
,,0.29648403281135727
"[0.000 0.040 0.000 0.425 0.501 0.566 0.424 0.173 -0.742 -1.000 -0.747
 0.747]",,
,0.293801054347912,
,,0.29379911985189944
[0.541 0.201 1.039 0.000 0.000 0.000 1.000 0.703 0.917 -0.800 0.541 1.000],,
,0.2940194627765199,
,,0.29401688227203454
"[0.971 0.000 0.000 0.000 0.000 0.000 -1.000 0.904 0.332 1.000 -0.122
 -0.253]",,
,0.29815879855549876,
,,0.2980883341529526
[1.382 0.984 1.108 0.000 1.014 0.000 0.329 1.000 0.797 -1.000 1.000 -0.287],,
,0.29616290005320556,
,,0.2961559005552368
[0.000 0.055 0.000 0.000 0.226 0.538 1.000 -0.533 0.960 1.000 0.310 1.000],,
,0.29457031390235566,
,,0.29456903505636545
"[0.000 0.000 2.039 0.000 1.105 0.000 -0.909 0.812 -0.520 0.925 -0.339
 1.000]",,
,0.2949958644164466,
,,0.2949916681189492
"[0.000 1.048 1.924 0.131 0.000 0.000 -0.156 0.296 1.000 -0.989 -0.323
 0.076]",,
,0.2941774418259559,
,,0.29417590588657605
[0.445 0.931 2.539 2.049 1.164 0.000 1.000 -1.000 1.000 1.000 0.636 1.000],,
,0.2939434262861724,
,,0.2939431952703322
"[0.656 0.721 0.282 0.000 1.131 0.000 -0.357 -1.000 0.502 -1.000 -0.992
 0.624]",,
,0.2930352684566429,
,,0.2930152383860278
"[0.112 0.000 0.000 0.000 0.688 0.000 -0.247 -0.502 1.000 0.398 -0.572
 1.000]",,
,0.290745879012703,
,,0.29070334032313117
"[0.000 3.535 0.000 2.278 0.000 1.237 -0.757 -0.871 -0.887 0.419 -1.000
 0.065]",,
,0.29545433187217174,
,,0.29541872644943107
"[1.638 0.603 0.000 0.011 0.766 0.000 0.945 1.000 -1.000 -0.830 1.000
 -0.014]",,
,0.2958299513840196,
,,0.29582544432415997
"[1.050 0.088 0.102 0.694 0.000 0.744 -1.000 1.000 -1.000 -1.000 0.138
 -0.679]",,
,0.2948902921286141,
,,0.29488293757723744
"[0.000 0.197 0.868 0.000 0.500 0.000 1.000 -0.281 -0.747 0.677 -0.686
 -1.000]",,
,0.2940595537523805,
,,0.29405886688628696
"[0.228 1.719 1.257 1.074 0.000 1.227 -0.331 -1.000 -0.246 -0.967 0.932
 0.625]",,
,0.2939030213833939,
,,0.29389844122982706
"[1.501 0.167 0.105 0.000 0.000 1.845 0.036 -0.007 0.065 -0.502 -0.578
 0.552]",,
,0.29364928246218813,
,,0.29364643144495656
"[0.000 0.409 1.875 0.000 0.159 0.000 0.504 -1.000 0.165 -0.732 -1.000
 -0.775]",,
,0.29476599615663657,
,,0.2947465677734101
"[0.000 0.000 1.234 0.623 0.000 0.000 0.180 -0.997 -0.800 -0.543 1.000
 1.000]",,
,0.29222153344590523,
,,0.2922074603999355
"[0.000 0.002 0.000 0.000 0.000 0.000 0.932 0.612 -0.028 -0.624 -0.621
 -0.633]",,
,0.29360343256631743,
,,0.2936010151296993
"[0.000 0.000 0.000 0.000 2.566 0.000 0.984 -0.320 -1.000 -0.770 -0.341
 0.626]",,
,0.29384932099061917,
,,0.2938479072350247
[0.854 0.000 0.520 0.000 0.000 0.000 -0.033 1.000 0.501 -0.097 1.000 1.000],,
,0.2940579575456272,
,,0.29405659024832953
[0.056 0.740 0.000 0.458 0.100 0.543 -0.039 -0.078 0.242 0.352 0.161 0.665],,
,0.29195906512166186,
,,0.29194897857227536
"[0.000 0.144 0.000 0.000 0.000 0.000 -1.000 -0.010 -0.659 -0.581 -0.243
 -0.769]",,
,0.295874393416249,
,,0.29586780069064283
[0.000 0.841 0.574 0.062 0.000 0.000 0.771 -0.630 0.200 0.928 0.265 -0.647],,
,0.295584487340984,
,,0.295578874349029
"[0.000 0.000 0.000 0.000 0.000 0.000 -1.000 -1.000 0.022 0.721 1.000
 -1.000]",,
,0.29275541170361685,
,,0.292744579748541
"[0.381 0.000 1.098 0.000 0.364 0.266 1.000 1.000 -0.441 -0.045 -0.349
 1.000]",,
,0.2946408847972848,
,,0.29464086793930916
"[1.289 0.302 0.000 1.851 0.803 0.136 -1.000 -0.288 0.324 -1.000 0.436
 0.896]",,
,0.2946188659148916,
,,0.2946181814539404
"[1.555 1.754 0.150 0.000 0.464 0.276 0.437 -0.860 0.187 -0.346 0.479
 -1.000]",,
,0.291670109868536,
,,0.2916233092965783
"[0.000 0.000 1.977 1.617 1.659 0.357 -1.000 -0.650 0.299 0.229 0.535
 -1.000]",,
,0.29307198991353356,
