#{"t_start": 1642441919.0931532, "env_id": null}
r,l,t
21.289445,937,24.015433
28.095828,1000,49.395591
38.530986,1000,75.888024
31.741134,1000,102.349535
53.175437,1000,129.632055
36.750762,1000,155.185398
60.881372,1000,183.447252
39.445646,1000,210.504796
50.539409,1000,237.542723
83.825932,1000,265.426998
49.900577,1000,294.663769
52.583205,1000,321.42618
28.536521,1000,350.150708
81.433023,1000,377.433598
22.276408,1000,408.347123
30.960618,1000,434.756782
137.050497,1000,462.813583
95.273127,1000,489.185304
55.737016,1000,518.026681
53.272467,1000,545.718555
136.251233,1000,574.029742
97.75682,1000,601.581833
142.753811,1000,629.611473
48.563165,1000,656.14537
191.592377,1000,686.35554
52.736482,1000,715.195223
72.179162,1000,744.182292
35.96978,1000,772.417302
65.945346,1000,801.437293
71.246536,1000,830.900814
36.295244,1000,860.954161
171.704256,1000,890.049453
51.970822,1000,923.224869
139.924825,1000,953.100833
39.568759,1000,983.572089
114.032179,1000,1013.635445
148.723604,1000,1044.013955
144.011254,1000,1074.830123
62.062318,1000,1106.42511
54.870012,1000,1137.132181
143.911017,1000,1166.869014
113.070442,1000,1200.785911
92.552327,1000,1230.28739
32.513278,1000,1261.785952
162.003239,1000,1292.30862
18.111081,1000,1325.495154
79.639391,1000,1355.848496
34.805188,1000,1385.990155
23.554028,1000,1416.628606
170.850089,1000,1446.478605
65.273895,1000,1476.43792
102.089236,1000,1506.749087
43.208828,1000,1536.016897
54.732385,1000,1566.254928
54.613117,1000,1595.710029
15.084158,1000,1626.900018
98.481089,1000,1656.481746
159.371325,1000,1687.224621
176.525276,1000,1717.113173
193.744283,1000,1748.552564
194.318419,1000,1777.830769
134.084059,1000,1808.631792
28.335284,1000,1837.686472
25.710651,1000,1867.513677
154.320866,1000,1896.56146
74.339288,1000,1928.385254
74.712348,1000,1958.791007
152.017341,1000,1991.84756
64.24,1000,2022.859691
152.682177,1000,2056.91937
90.397765,1000,2086.925984
125.05236,1000,2118.099765
95.235965,1000,2148.704234
66.393247,1000,2179.334349
155.874243,1000,2208.416628
121.5831,1000,2239.478693
153.689297,1000,2269.400802
166.265765,1000,2301.098341
136.235478,1000,2332.539433
129.174013,1000,2364.824234
115.09473,1000,2396.01309
159.068903,1000,2426.863556
158.084318,1000,2458.445437
183.593386,1000,2488.14222
153.852683,1000,2523.545267
186.908989,1000,2554.987303
156.957933,1000,2587.67764
134.523753,1000,2618.72742
120.45853,1000,2651.856942
71.797004,1000,2683.0739
42.003621,946,2715.188316
167.397611,1000,2746.084599
219.286411,1000,2779.965495
103.32401,1000,2810.60696
120.328216,1000,2844.727773
74.793279,910,2872.706208
151.702403,1000,2904.865469
174.358103,1000,2935.692635
136.853459,1000,2968.339543
91.104713,1000,2998.633446
146.23526,936,3028.085036
120.766403,1000,3059.718765
170.805067,1000,3093.918741
95.444644,1000,3124.767391
69.55326,1000,3157.481092
72.814591,1000,3189.188547
82.812241,1000,3223.830077
114.973618,1000,3255.85898
163.052682,1000,3290.379678
115.776721,1000,3321.265568
139.942849,1000,3354.869743
185.012594,916,3383.218665
112.70669,1000,3417.156135
163.133981,1000,3448.655666
216.857286,1000,3480.003255
148.493365,812,3505.790514
146.547762,1000,3537.7267
146.99387,1000,3571.038736
190.920909,1000,3602.06182
134.191135,1000,3633.200137
187.38371,1000,3666.348386
83.087831,926,3697.52505
161.611768,1000,3730.701464
210.958737,1000,3763.788373
185.502551,1000,3795.808674
198.239254,1000,3826.437568
215.027235,1000,3856.70642
126.651299,1000,3892.35265
178.846859,1000,3922.479904
195.136223,1000,3954.361797
82.544556,1000,3982.807562
162.126521,1000,4017.301432
84.343045,1000,4045.960639
118.232637,1000,4077.864344
148.98815,1000,4108.440534
247.706586,1000,4139.774142
120.116583,1000,4169.69411
226.658757,1000,4200.269268
131.407678,1000,4230.433823
168.156493,1000,4264.372828
155.769986,1000,4297.376546
262.476373,1000,4329.746648
128.32585,1000,4362.162227
116.896688,1000,4395.893748
212.073104,1000,4428.303149
122.291451,1000,4459.466197
109.033514,1000,4491.543902
172.277687,1000,4521.671568
208.477016,1000,4555.728865
208.218625,1000,4586.192989
138.423282,1000,4619.334005
135.207871,1000,4648.455692
141.753825,1000,4681.542025
144.955855,1000,4713.071781
179.423782,1000,4742.89606
191.432522,1000,4774.369193
172.723185,1000,4805.134187
221.012427,1000,4833.019442
117.372448,1000,4862.567723
217.034003,1000,4890.073182
118.930386,1000,4919.684414
144.490105,1000,4949.835779
176.531135,1000,4981.062595
182.378452,1000,5011.786207
140.764761,1000,5045.920393
147.307959,1000,5074.529275
156.046868,1000,5106.49791
184.653644,1000,5139.48313
163.509601,1000,5171.116157
120.860239,1000,5201.477105
113.548677,1000,5232.491488
119.012838,1000,5264.922791
79.106237,1000,5297.27682
84.9029,1000,5328.280935
188.184808,1000,5360.977465
134.480373,1000,5392.493776
71.004157,1000,5426.309632
216.828816,1000,5456.743285
101.052882,1000,5490.037333
154.651983,1000,5520.840626
