"[0.811 0.000 0.000 0.653 0.000 0.675 0.000 1.124 0.000 0.000 0.000 0.000
 -0.547 -1.000 -0.515]",,
,0.2943523109897518,
,,0.29435201171355896
"[0.000 0.000 0.000 0.000 0.000 0.118 0.000 0.000 0.000 0.160 0.000 0.673
 0.756 -0.361 0.395]",,
,0.29371391109282347,
,,0.29371334659878007
"[0.000 0.035 0.000 0.000 0.000 0.000 1.766 2.129 0.000 0.000 0.000 1.650
 0.412 -1.000 -0.881]",,
,0.2945624016422373,
,,0.2945623397213067
"[0.000 0.510 0.000 0.166 0.796 0.503 0.351 0.000 0.000 0.000 1.073 0.015
 1.000 0.501 1.000]",,
,0.2943573995601349,
,,0.29435601179015697
"[0.000 0.000 0.533 0.686 0.000 0.000 0.000 0.000 0.000 0.328 0.000 1.532
 0.487 -0.185 0.995]",,
,0.2943708352421325,
,,0.2943692644318266
"[0.000 0.095 0.000 0.000 0.000 0.000 1.001 0.000 0.000 1.183 0.000 2.209
 -1.000 -1.000 0.346]",,
,0.2953257026565669,
,,0.29532462021858724
"[0.139 0.257 0.033 0.653 0.145 0.357 1.998 0.176 0.131 0.542 0.000 0.282
 0.417 0.215 0.418]",,
,0.2941996066061527,
,,0.2941995824693029
"[0.000 1.273 2.140 1.619 0.000 0.000 0.000 1.216 0.000 1.941 0.765 2.412
 0.496 1.000 -0.031]",,
,0.2943097225237047,
,,0.29430969811878005
"[0.000 0.000 0.000 0.000 0.052 0.000 0.000 1.949 0.311 0.473 1.084 0.000
 -0.232 -0.271 1.000]",,
,0.2942823411186336,
,,0.29428224188829477
"[0.000 0.098 1.119 0.492 1.511 0.042 0.029 0.000 0.000 0.000 0.000 0.045
 -0.269 0.362 -0.066]",,
,0.2944239043720291,
,,0.2944235702333633
"[0.448 0.768 0.414 0.000 0.724 0.000 0.000 2.858 0.000 0.000 0.000 0.000
 0.983 0.633 -0.468]",,
,0.2945741772767215,
,,0.2945739772435782
"[0.007 0.000 0.000 0.000 0.000 0.000 0.937 0.000 0.782 0.000 1.317 0.000
 0.397 0.549 1.000]",,
,0.2952230059540926,
,,0.2952219247090048
"[0.465 1.879 1.151 0.000 0.000 0.000 0.239 0.000 0.471 1.959 0.818 0.000
 0.372 1.000 -1.000]",,
,0.29593263053530156,
,,0.29592902221898115
"[2.589 0.000 1.288 1.401 0.643 0.000 0.000 0.000 2.077 0.736 0.000 0.000
 0.233 -0.641 -0.473]",,
,0.2942027015458823,
,,0.29420269675276717
"[0.171 0.000 0.585 1.309 0.000 0.000 0.014 0.471 0.792 0.000 0.965 1.934
 -1.000 -0.102 1.000]",,
,0.29433808028113956,
,,0.29433784695373993
"[0.015 0.000 0.000 0.000 0.000 1.076 1.007 0.000 0.000 0.000 0.274 0.000
 -1.000 -1.000 -0.154]",,
,0.29412052935699107,
,,0.29412051932408767
"[1.640 0.395 0.000 0.000 0.674 0.000 0.013 0.000 0.000 0.000 0.000 0.000
 -0.741 -0.448 -0.961]",,
,0.29490591130418253,
,,0.2949057012923211
"[0.000 0.039 0.000 0.081 0.000 0.233 1.021 0.546 1.080 0.490 0.000 0.000
 1.000 0.622 0.491]",,
,0.2941530616285602,
,,0.2941530384919177
"[0.000 0.321 0.000 0.371 0.823 0.181 0.000 0.000 0.958 0.701 0.000 0.000
 -0.475 1.000 -0.571]",,
,0.2942987073981722,
,,0.29429869281220555
"[0.000 0.000 0.331 0.000 0.000 0.000 0.980 1.534 0.000 0.571 0.000 1.272
 0.490 -1.000 1.000]",,
,0.2943317032257862,
,,0.2943317022071827
"[1.058 0.588 1.676 0.361 0.133 0.000 1.141 0.000 0.000 0.593 0.000 0.000
 -0.714 -0.348 0.774]",,
,0.29430720254781756,
,,0.29430713530934466
"[0.000 0.837 0.743 0.000 1.788 0.395 0.271 0.405 0.000 0.000 0.345 0.000
 0.299 0.775 1.000]",,
,0.2942979466529353,
,,0.294297151059591
"[0.000 0.000 0.055 0.716 0.357 1.148 0.440 1.141 0.000 0.253 0.000 0.066
 1.000 -0.477 -1.000]",,
,0.2946730219982904,
,,0.2946722031676224
"[0.919 1.026 0.000 0.382 0.000 0.017 0.000 0.669 0.000 2.185 1.797 0.000
 -0.728 -1.000 0.435]",,
,0.29402797729560826,
,,0.29402765028494177
"[0.000 0.000 1.009 1.047 0.216 0.000 3.831 0.452 0.000 0.387 1.344 0.000
 0.733 0.070 0.355]",,
,0.295449571330933,
,,0.29544864977916707
"[0.456 0.467 0.197 0.000 0.212 0.663 0.192 0.000 0.000 0.000 1.039 2.062
 0.781 1.000 -0.604]",,
,0.2943000391407682,
,,0.2943000391407448
"[0.000 0.000 0.000 0.000 0.183 1.132 0.755 1.116 1.540 0.000 0.000 0.000
 -0.216 -0.859 -1.000]",,
,0.2976456309444508,
,,0.2976339178760213
"[1.418 0.000 0.000 0.026 0.801 0.000 0.000 0.000 1.754 0.019 0.000 2.108
 0.694 0.750 -1.000]",,
,0.2933847620494028,
,,0.2933836631549914
"[0.000 0.000 0.199 0.000 0.326 0.000 0.000 0.000 0.778 0.586 0.213 0.039
 0.860 -0.794 -0.119]",,
,0.29436567936052543,
,,0.294365419196501
"[0.000 0.088 0.376 0.021 1.332 0.952 0.000 0.000 0.000 1.453 0.000 0.000
 0.037 -1.000 -0.997]",,
,0.29423633803836663,
,,0.2942363379862621
"[0.000 2.032 0.768 2.364 1.014 0.353 0.000 0.000 0.119 0.066 0.000 0.000
 -1.000 -0.448 -0.248]",,
,0.29327336711306917,
,,0.2932721092996614
"[1.486 0.207 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.013 0.000 0.000
 -0.544 -1.000 -0.592]",,
,0.29413246065220144,
,,0.29413246013194266
"[0.000 1.788 0.858 0.000 0.000 0.343 0.000 0.026 0.000 0.799 0.000 0.197
 1.000 -1.000 1.000]",,
,0.2942812687538772,
,,0.2942812676633469
"[0.000 0.233 0.000 0.000 0.000 1.104 0.314 0.481 1.116 0.090 0.000 0.000
 0.441 -1.000 1.000]",,
,0.29457467926719233,
,,0.2945737818331685
"[0.000 0.601 0.372 0.381 0.000 0.262 1.261 1.088 0.000 0.000 0.000 0.048
 0.417 -0.268 -0.282]",,
,0.2941455011646279,
,,0.2941454768477223
"[0.489 1.888 0.000 1.683 0.000 0.000 0.000 0.000 0.000 1.457 0.000 0.866
 -0.112 0.085 -0.043]",,
,0.29430003369341834,
,,0.29430003369340235
