"[0.000 0.150 0.000 0.362 0.166 0.171 0.000 0.479 0.000 0.532 0.000 0.000
 -0.059 1.000 1.000]",,
,0.29418867913611507,
,,0.29418527899280655
"[0.811 0.000 0.000 0.653 0.000 0.675 0.000 1.124 0.000 0.000 0.000 0.000
 -0.547 -1.000 -0.514]",,
,0.2943570968669324,
,,0.2943565680362707
"[0.901 0.000 0.461 2.185 0.000 0.994 0.000 1.705 0.000 2.481 0.608 0.708
 -0.769 -1.000 -0.451]",,
,0.2932005996663192,
,,0.29319929293119806
"[0.000 0.000 0.000 0.000 0.000 0.118 0.000 0.000 0.000 0.160 0.000 0.672
 0.756 -0.361 0.394]",,
,0.29373076488164357,
,,0.2937301842125015
"[0.376 0.927 0.000 1.981 0.804 0.000 0.286 1.053 0.187 1.631 0.083 2.967
 -0.170 -0.937 -0.203]",,
,0.29432221032771305,
,,0.294322140590866
"[0.000 0.002 0.000 0.000 0.000 0.000 1.765 2.117 0.000 0.000 0.000 1.680
 0.407 -1.000 -0.906]",,
,0.29458024601469573,
,,0.2945801654505023
"[0.000 0.280 0.000 0.000 0.000 0.582 0.000 0.000 0.805 1.123 0.497 1.685
 -1.000 0.437 0.560]",,
,0.294279602889955,
,,0.29427933080293084
"[0.000 0.466 0.000 0.109 0.729 0.547 0.369 0.000 0.000 0.000 1.093 0.088
 1.000 0.464 1.000]",,
,0.2943173829389915,
,,0.2943166780088636
"[0.255 0.000 0.557 0.000 1.228 0.338 0.093 1.000 1.213 0.000 1.038 0.000
 1.000 0.741 1.000]",,
,0.2943249560980412,
,,0.29432460291576845
"[0.000 0.000 0.504 0.606 0.000 0.000 0.000 0.000 0.000 0.322 0.000 1.545
 0.507 -0.183 0.936]",,
,0.2948227809605972,
,,0.29482162486852326
"[1.183 0.975 0.317 0.913 0.222 0.000 1.308 1.559 0.142 0.131 0.598 0.000
 -0.008 -0.421 -0.051]",,
,0.2948264668124121,
,,0.29482645397163176
"[0.000 0.000 0.000 0.000 0.000 0.000 0.995 0.000 0.000 1.121 0.000 2.237
 -1.000 -1.000 0.305]",,
,0.29559148184982903,
,,0.2955898614780152
"[0.000 0.000 0.000 0.000 0.000 0.270 0.000 0.000 0.000 0.000 0.000 0.000
 -0.384 0.425 -0.458]",,
,0.2946471577439834,
,,0.29464702702701995
"[0.130 0.143 0.046 0.452 0.134 0.393 1.980 0.076 0.320 0.565 0.000 0.270
 0.435 0.187 0.364]",,
,0.29412587865513884,
,,0.2941258755161175
"[0.136 0.259 0.000 0.000 1.815 1.047 0.079 1.405 0.000 0.000 0.560 0.092
 0.080 -0.840 -0.516]",,
,0.29483805799364954,
,,0.2948378127410919
"[0.000 1.168 2.084 1.493 0.000 0.000 0.000 1.109 0.000 1.836 0.814 2.414
 0.515 1.000 -0.095]",,
,0.2942951774820275,
,,0.294295165868854
"[1.285 0.000 0.675 0.000 0.617 0.625 0.000 1.247 0.000 0.208 1.846 0.000
 0.923 -0.781 0.378]",,
,0.2940176481703878,
,,0.29401740834476553
"[0.000 0.000 0.000 0.000 0.038 0.000 0.000 1.797 0.461 0.492 1.155 0.000
 -0.222 -0.311 1.000]",,
,0.2942628450266635,
,,0.29426274182831086
"[0.844 1.428 0.000 0.099 0.157 2.478 0.000 1.349 0.095 0.461 0.000 0.000
 -0.488 -1.000 -0.998]",,
,0.2954042854485168,
,,0.29540329746684746
"[0.000 0.000 1.090 0.232 1.491 0.070 0.000 0.000 0.000 0.000 0.000 0.017
 -0.286 0.373 -0.111]",,
,0.2942152081705349,
,,0.294215000018936
"[0.049 0.652 0.000 0.774 0.118 0.392 0.557 0.197 0.000 0.000 0.000 0.023
 1.000 0.683 1.000]",,
,0.29437729672543933,
,,0.29437729097126986
"[0.393 0.673 0.328 0.000 0.635 0.000 0.000 2.550 0.000 0.000 0.013 0.000
 1.000 0.568 -0.466]",,
,0.29457956421446735,
,,0.29457946594356327
"[0.508 0.266 1.383 0.997 0.307 0.161 0.000 0.000 0.000 0.000 0.000 0.373
 -1.000 1.000 1.000]",,
,0.2917112186942483,
,,0.29170676727930683
"[0.000 0.000 0.000 0.000 0.000 0.000 1.024 0.000 0.797 0.000 1.418 0.000
 0.569 0.449 1.000]",,
,0.29526206176371145,
,,0.29526106054583284
"[0.304 0.000 0.000 0.000 0.000 0.000 0.180 0.450 0.000 0.000 0.112 0.000
 0.864 -1.000 -1.000]",,
,0.2944242890417355,
,,0.29442427298788265
"[0.430 1.830 1.044 0.000 0.000 0.000 0.295 0.000 0.579 1.882 0.953 0.000
 0.519 1.000 -1.000]",,
,0.2965773144938509,
,,0.2965716944694421
"[0.181 0.000 0.000 0.131 0.317 0.000 0.460 0.000 0.000 0.000 0.530 0.000
 -0.567 -1.000 -1.000]",,
,0.2950691163813035,
,,0.2950686279746228
"[2.620 0.000 1.196 1.151 0.534 0.000 0.000 0.000 2.227 0.719 0.000 0.000
 0.332 -0.729 -0.509]",,
,0.2941305512754166,
,,0.2941305299485728
"[0.009 1.414 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.918 0.128 0.068
 -0.774 0.263 -1.000]",,
,0.2946222842438747,
,,0.2946221766078964
"[0.074 0.000 0.460 1.161 0.000 0.000 0.035 0.375 0.863 0.000 1.026 2.128
 -1.000 -0.205 1.000]",,
,0.29432874226587574,
,,0.2943287412010158
"[0.627 0.141 0.074 0.000 0.000 0.325 0.200 0.236 0.271 0.273 0.514 0.105
 1.000 -0.354 -0.414]",,
,0.29336384513578284,
,,0.29336317648787164
"[0.000 0.000 0.000 0.000 0.000 1.064 1.042 0.000 0.000 0.000 0.245 0.000
 -1.000 -1.000 -0.213]",,
,0.29392016978697505,
,,0.2939200439801673
"[0.129 0.000 0.000 0.994 0.000 0.000 0.448 0.000 0.000 0.000 0.209 0.000
 -0.622 -0.429 -0.197]",,
,0.29454755901199947,
,,0.29454571229486265
"[1.675 0.413 0.000 0.000 0.641 0.000 0.043 0.000 0.000 0.000 0.000 0.000
 -0.705 -0.544 -1.000]",,
,0.294880941685099,
,,0.2948806807759145
"[0.000 0.000 0.000 0.313 0.000 0.152 0.196 0.319 0.000 0.523 0.000 0.000
 -1.000 0.439 1.000]",,
,0.2943003953473638,
,,0.294300395346566
"[0.000 0.043 0.000 0.000 0.000 0.297 1.103 0.535 1.298 0.571 0.000 0.000
 1.000 0.543 0.365]",,
,0.2939276480320651,
,,0.2939275051575881
"[0.776 1.022 0.000 0.000 2.363 0.000 1.451 0.314 0.000 0.000 0.000 1.689
 -0.264 0.320 -0.044]",,
,0.2924612115232215,
,,0.2924581885255503
"[0.000 0.286 0.000 0.473 0.850 0.199 0.000 0.000 0.982 0.619 0.000 0.000
 -0.251 0.940 -0.471]",,
,0.29427645778652306,
,,0.29427632590648145
"[0.325 0.000 0.000 0.000 0.000 0.762 2.609 0.000 0.000 0.000 0.028 0.488
 1.000 1.000 0.010]",,
,0.2942910538794741,
,,0.29429090203169206
"[0.000 0.000 0.142 0.033 0.000 0.000 1.226 1.273 0.000 0.534 0.000 1.478
 0.713 -1.000 1.000]",,
,0.29424943160094913,
,,0.2942491477404814
"[0.000 1.405 0.000 1.557 0.489 0.717 1.123 0.290 0.000 0.000 0.968 0.000
 0.030 0.203 -0.519]",,
,0.2943064487033067,
,,0.29430505684014396
"[1.073 0.609 1.682 0.167 0.000 0.000 1.227 0.000 0.000 0.734 0.000 0.000
 -0.607 -0.453 0.690]",,
,0.29427014284546316,
,,0.2942700754948618
"[0.910 0.135 0.054 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000
 0.859 0.016 0.173]",,
,0.29431739780730726,
,,0.2943172894583097
"[0.000 0.958 0.722 0.000 1.722 0.491 0.293 0.290 0.000 0.000 0.314 0.000
 0.405 0.700 0.945]",,
,0.29458730169044633,
,,0.29458670174754675
"[0.000 0.180 0.000 1.603 0.513 0.962 0.000 0.000 0.000 0.580 0.787 0.000
 1.000 -1.000 1.000]",,
,0.29430760833939607,
,,0.29430755360928207
"[0.000 0.000 0.071 0.422 0.263 1.244 0.515 1.000 0.067 0.346 0.000 0.099
 1.000 -0.625 -1.000]",,
,0.29506396355470943,
,,0.2950629714313606
"[0.253 0.000 0.000 0.295 1.823 1.292 1.510 0.366 0.000 0.000 0.000 0.000
 1.000 0.943 -0.887]",,
,0.2938256861300884,
,,0.2938254646488927
"[0.834 1.181 0.000 0.166 0.000 0.063 0.000 0.538 0.000 2.143 1.795 0.000
 -0.628 -1.000 0.269]",,
,0.2942801972449332,
,,0.29428015617512765
"[0.000 1.719 1.523 0.000 0.000 0.000 0.705 1.599 0.527 0.412 0.056 0.000
 0.244 1.000 0.140]",,
,0.293985510924251,
,,0.29398535614353105
"[0.000 0.000 0.893 0.856 0.264 0.000 4.363 0.216 0.000 0.372 1.320 0.000
 0.909 -0.066 0.293]",,
,0.2961537134022605,
,,0.29615198039773705
"[0.744 0.000 0.000 0.176 0.000 0.169 0.000 0.426 0.639 1.162 1.719 1.004
 -1.000 -0.777 -0.016]",,
,0.29397760110687127,
,,0.29397749557548114
"[0.434 0.575 0.161 0.000 0.090 0.593 0.147 0.000 0.000 0.000 1.157 2.144
 0.952 1.000 -0.816]",,
,0.2945972764817538,
,,0.29459718067169477
"[0.337 0.000 0.000 1.563 1.230 0.000 2.318 0.000 0.000 0.817 1.239 1.538
 0.478 -0.224 -0.438]",,
,0.29285024476186444,
,,0.2928492062387415
"[0.000 0.000 0.000 0.000 0.283 1.213 0.891 0.918 1.608 0.000 0.000 0.000
 -0.081 -0.998 -1.000]",,
,0.2977083674832899,
,,0.297698747453988
"[0.000 0.000 0.000 1.130 0.825 0.476 0.000 0.367 0.986 0.000 0.248 0.563
 -0.672 0.775 0.733]",,
,0.2947650608608057,
,,0.29476484806128744
"[1.457 0.000 0.000 0.036 0.651 0.000 0.013 0.000 1.857 0.000 0.000 2.342
 0.976 0.647 -1.000]",,
,0.2932853687422179,
,,0.2932841761532436
"[0.000 0.000 0.661 0.043 0.540 1.526 1.482 1.156 0.000 0.218 0.000 1.388
 1.000 -1.000 -1.000]",,
,0.2945402678967171,
,,0.2945381687840164
"[0.000 0.000 0.222 0.000 0.147 0.000 0.000 0.000 0.877 0.561 0.302 0.214
 1.000 -0.867 -0.164]",,
,0.29431156827073757,
,,0.29431109825537044
