#{"t_start": 1642441956.9764018, "env_id": null}
r,l,t
13.781444,500,12.984889
14.667849,500,25.880839
14.106668,500,39.11964
6.172083,500,51.907365
12.602991,500,67.780393
9.738376,500,81.158021
15.765334,500,94.005744
8.88017,500,106.939753
12.076026,500,121.267769
18.919211,500,136.049006
21.092655,500,149.098783
6.893744,500,161.830635
14.188535,500,176.398451
7.723138,500,190.059059
11.171646,500,202.849729
10.329477,500,215.574922
9.006593,500,232.217711
19.163022,500,245.688063
15.490875,500,258.560586
10.137269,500,271.343594
7.957064,500,287.551013
9.94361,500,301.439176
7.435981,500,314.29939
16.575103,500,327.329129
21.141776,500,342.587727
11.271733,500,356.250697
14.26576,500,369.379097
14.813557,500,382.426913
14.019877,500,398.204412
19.053088,500,412.159997
8.755984,500,424.999535
18.797736,500,437.960602
17.543767,500,453.059039
20.474022,500,466.568444
9.133585,500,479.834901
13.122476,500,492.951625
9.488782,500,507.651801
9.100154,500,520.918422
15.716383,500,534.002798
12.833069,500,546.868696
10.594937,500,562.872395
14.375448,500,575.631694
19.968919,500,588.642964
8.143145,500,601.502239
10.701289,500,614.624583
19.049133,500,629.186097
20.623632,500,642.70313
26.702225,500,655.630923
11.042515,500,669.043448
18.419057,500,683.170691
10.193203,500,696.850624
19.158072,500,709.904869
9.780956,500,723.264744
11.990525,500,737.355723
6.511785,500,750.799563
18.491868,500,763.711432
8.251953,500,777.768057
12.085514,500,791.883415
13.333257,500,804.668429
9.003201,500,817.252242
16.329859,500,830.901542
22.834508,500,845.221614
11.859879,500,858.08193
5.488638,500,870.881056
20.635291,500,886.305919
8.001391,500,903.001399
9.395749,500,916.175431
11.740254,500,929.037476
7.253963,500,942.367324
16.238326,500,956.124029
10.393723,500,969.101534
15.720835,500,982.100913
13.074418,500,995.467289
16.909674,500,1009.712895
18.269799,500,1022.596869
14.386073,500,1035.686763
21.807589,500,1048.699696
6.851615,500,1062.888938
14.539817,500,1075.655305
8.088352,500,1089.341399
10.807462,500,1103.062961
25.003233,500,1117.133792
15.140013,500,1130.153766
16.298439,500,1143.250278
11.032279,500,1156.770849
11.199551,500,1169.775673
7.154572,500,1183.88778
16.505918,500,1197.710138
7.083976,500,1210.498424
6.820006,500,1223.446166
16.290541,500,1239.516709
12.170998,500,1252.660122
14.201513,500,1267.205554
13.206183,500,1279.897779
24.262038,500,1295.367372
19.391618,500,1308.630998
13.588675,500,1321.765763
12.08419,500,1335.077686
11.275641,500,1349.697106
11.391025,500,1362.664982
20.82194,500,1377.095626
10.256061,500,1390.78442
10.256007,500,1405.222369
12.874341,500,1418.299873
13.664438,500,1431.68758
8.623782,500,1444.591134
9.018678,500,1460.393742
11.624959,500,1473.104266
16.518682,500,1487.363071
9.469037,500,1500.290013
11.960802,500,1515.358856
19.428405,500,1528.110754
11.413072,500,1541.669517
8.872684,500,1554.43075
24.112183,500,1568.74262
23.00611,500,1582.331134
10.146288,500,1595.776041
13.632454,500,1608.591333
13.120851,500,1623.621182
12.083919,500,1637.139858
9.279269,500,1651.779124
10.232714,500,1664.630122
10.292744,500,1678.777457
13.813784,500,1691.868885
9.070926,500,1705.4739
22.976586,500,1718.648152
16.251448,500,1733.426256
28.079951,500,1746.914193
17.545571,500,1759.936076
20.75386,500,1773.534529
15.525777,500,1786.402555
16.120418,500,1801.283641
10.282177,500,1814.332137
14.049599,500,1827.121472
14.927029,500,1839.927054
21.631036,500,1853.800333
17.841038,500,1867.917264
16.23503,500,1881.087379
25.318699,500,1894.177584
9.140771,500,1908.242367
14.07848,500,1921.235757
21.730993,500,1934.697104
9.088383,500,1947.869391
7.910426,500,1961.818589
11.258179,500,1975.291149
14.966105,500,1988.139164
16.304796,500,2001.455837
12.46523,500,2018.272853
11.602405,500,2031.532461
8.896083,500,2044.525257
10.769411,500,2057.963995
16.031215,500,2072.971246
12.042954,500,2086.667939
9.815485,500,2099.439508
10.679632,500,2113.610222
13.340396,500,2128.4518
6.168973,500,2142.2241
25.264637,500,2155.021588
10.839513,500,2168.620772
8.773719,500,2183.118982
18.323825,500,2196.277408
12.886688,500,2209.317618
15.053983,500,2222.24574
13.790947,500,2236.764474
15.846892,500,2250.226231
16.09444,500,2263.024118
8.585534,500,2276.004846
13.480859,500,2290.904583
8.328126,500,2304.301523
10.871315,500,2317.662961
15.013604,500,2331.886465
10.84157,500,2344.79674
7.104626,500,2361.016445
20.372258,500,2373.766067
8.719976,500,2386.607973
9.172047,500,2399.927829
14.029686,500,2415.025324
16.549456,500,2427.880028
8.636851,500,2441.260799
10.715216,500,2455.095999
20.764376,500,2471.210339
10.335839,500,2484.167969
10.734492,500,2497.312047
5.61878,500,2510.586049
11.503998,500,2525.533441
11.832315,500,2538.454865
19.060169,500,2551.491072
14.272798,500,2564.459204
13.315746,500,2578.503679
13.447894,500,2591.808194
13.574836,500,2604.794495
13.355194,500,2617.685003
17.191251,500,2632.185317
8.424736,500,2644.851366
11.102675,500,2659.077628
6.531854,500,2672.137429
9.105654,500,2685.914126
9.096979,500,2698.761249
12.089803,500,2711.557022
9.508611,500,2724.733853
11.42995,500,2739.623648
17.58497,500,2752.329215
8.276264,500,2765.167998
10.53383,500,2777.935757
16.834142,500,2794.272521
9.085372,500,2807.310715
10.912704,500,2820.118737
17.83397,500,2833.070979
8.980005,500,2847.114477
18.702068,500,2859.82071
8.435238,500,2873.097168
11.938511,500,2886.135959
7.940841,500,2900.768162
15.627152,500,2913.867521
19.036521,500,2927.363687
20.760866,500,2940.263584
19.480339,500,2953.411415
14.367766,500,2970.361208
10.210586,500,2983.525991
15.986679,500,2996.605526
7.409325,500,3009.680675
12.421624,500,3024.830401
5.297744,500,3037.705037
7.322385,500,3051.673158
5.743782,500,3064.69042
10.871633,500,3079.05896
7.744832,500,3092.588425
13.473515,500,3105.423883
8.318843,500,3118.649322
8.057526,500,3133.579163
10.460139,500,3146.866361
15.76128,500,3160.168957
14.679481,500,3173.378273
6.973228,500,3188.075713
11.868061,500,3201.82251
13.033829,500,3214.9399
6.650012,500,3227.904519
11.130816,500,3243.897196
10.528815,500,3256.811281
11.576846,500,3270.271799
16.335832,500,3283.347348
8.916324,500,3298.095964
14.869987,500,3311.108581
13.260247,500,3324.611103
12.338119,500,3337.404028
10.502733,500,3353.158829
9.060485,500,3365.914355
12.916269,500,3379.133179
18.678754,500,3392.131783
15.072487,500,3407.083014
17.427889,500,3420.266349
7.148484,500,3432.904993
16.119808,500,3445.943822
12.904508,500,3460.519573
14.959369,500,3473.560822
20.046159,500,3487.603178
13.899682,500,3500.6843
17.417549,500,3514.054298
15.146042,500,3528.512461
20.486174,500,3541.4191
13.342067,500,3554.460556
12.369898,500,3567.265968
17.570537,500,3581.557138
19.391533,500,3594.469272
20.527993,500,3607.438623
19.182298,500,3621.117244
9.412491,500,3636.295224
9.705049,500,3650.069433
11.974629,500,3662.858101
7.802281,500,3675.543596
13.196724,500,3692.061584
10.634159,500,3705.267435
11.751348,500,3718.486043
12.061453,500,3731.574836
13.524903,500,3746.455931
11.305443,500,3759.685794
14.300542,500,3772.843555
12.809753,500,3786.175089
9.760746,500,3800.406039
6.288793,500,3813.721218
7.026694,500,3826.936724
10.134406,500,3840.166668
14.618143,500,3855.017457
18.123245,500,3868.799912
20.490681,500,3881.844883
12.694389,500,3894.676333
18.427234,500,3908.989543
17.425532,500,3922.580286
16.851912,500,3935.571593
9.512917,500,3948.930278
16.354665,500,3964.175452
20.480491,500,3977.1585
17.200598,500,3990.140902
24.232253,500,4003.015329
18.9038,500,4017.602259
12.624521,500,4030.751507
27.88167,500,4044.043087
9.859061,500,4056.884031
12.86697,500,4069.899185
12.040141,500,4087.819604
13.376179,500,4101.002161
8.670281,500,4114.172801
11.960939,500,4127.107412
9.93422,500,4142.993677
17.730795,500,4156.041098
19.849898,500,4169.462155
8.5961,500,4182.538012
16.347481,500,4196.77714
13.598048,500,4209.837821
14.69661,500,4223.273816
25.63947,500,4237.129263
22.632837,500,4251.38094
10.24929,500,4265.664865
10.781721,500,4278.673135
19.469392,500,4291.681021
22.36428,500,4306.422899
14.195897,500,4320.100043
10.441024,500,4333.542339
6.766338,500,4346.503788
14.931188,500,4360.977332
9.064748,500,4374.019459
12.020695,500,4389.018522
18.644013,500,4402.121693
16.654433,500,4416.919458
20.162695,500,4429.84301
16.19989,500,4444.047112
15.813299,500,4457.510684
10.841555,500,4471.942644
18.900326,500,4485.581919
20.266494,500,4499.099102
18.846798,500,4512.950379
15.738718,500,4528.429921
17.352704,500,4541.64406
11.153406,500,4554.932717
9.448579,500,4568.211902
27.088332,500,4582.830604
19.687758,500,4596.129189
22.013748,500,4609.056705
10.794401,500,4622.136184
17.209534,500,4637.490665
13.890124,500,4650.793374
36.266548,500,4665.435823
12.170006,500,4678.394168
23.76797,500,4692.154353
15.435998,500,4707.226574
16.207483,500,4721.589023
33.677389,500,4734.733075
15.952751,500,4748.141791
13.153332,500,4762.888318
33.107754,500,4777.869281
12.078016,500,4791.023581
11.342923,500,4803.656239
16.404786,500,4819.105189
19.517633,500,4833.784165
11.297386,500,4847.006766
11.326732,500,4859.86248
12.806065,500,4875.288477
19.422391,500,4888.364417
25.217414,500,4902.740113
16.5547,500,4915.58925
12.798664,500,4930.800128
7.9364,500,4944.138973
6.964447,500,4958.131756
38.121014,500,4971.839359
34.211159,500,4988.674108
28.200508,500,5002.812387
37.933922,500,5016.511816
8.922325,500,5029.502419
15.296112,500,5044.400574
6.95758,500,5057.762417
5.450957,500,5070.629431
8.36005,500,5083.693894
34.695306,500,5102.370714
