#{"t_start": 1642441967.0665386, "env_id": null}
r,l,t
14.235274,500,13.308942
14.828412,500,26.379451
14.296147,500,39.448706
6.379937,500,52.899978
10.579617,500,68.088273
9.669995,500,81.265881
14.848648,500,94.581373
8.222622,500,107.418591
12.545529,500,125.013794
17.410354,500,137.914056
18.307012,500,150.975554
6.729482,500,165.484222
14.726936,500,181.108397
7.870804,500,194.446108
11.230668,500,207.394226
9.964333,500,221.942538
8.459395,500,237.709342
18.336172,500,250.506567
14.395856,500,263.55132
10.740759,500,277.271558
7.446209,500,292.89887
9.638093,500,305.877124
7.439754,500,318.912142
14.503061,500,332.677471
18.399439,500,348.680213
10.758916,500,361.500717
12.686749,500,374.516872
15.006403,500,387.923857
13.113691,500,402.220354
19.460887,500,415.147191
8.288816,500,428.159808
17.919834,500,441.405058
16.062165,500,456.710412
17.006896,500,469.833206
8.925368,500,482.907855
12.533413,500,496.889992
8.871367,500,511.481307
8.691105,500,524.916185
15.643876,500,538.011746
11.771749,500,551.362888
10.664499,500,566.209071
13.912829,500,578.99824
17.312947,500,592.265457
8.046003,500,605.685132
10.653193,500,619.967899
16.037001,500,634.180189
18.77712,500,647.137676
19.529607,500,660.390551
10.20806,500,673.52621
15.767027,500,688.51332
9.839092,500,702.277475
15.304622,500,715.929546
9.52901,500,728.956528
11.617227,500,743.178466
6.48503,500,756.644871
14.807801,500,770.667683
8.344108,500,783.519377
11.954706,500,797.616619
12.562572,500,810.491332
9.111528,500,823.828997
14.743614,500,837.337543
21.921844,500,851.427495
10.563518,500,864.301547
5.696673,500,880.279835
15.410903,500,895.003348
7.293055,500,909.053093
8.45561,500,922.227315
10.55868,500,935.750403
6.793554,500,948.801686
12.344866,500,963.353277
8.776548,500,976.455845
13.190566,500,989.838217
11.706963,500,1003.257661
15.479042,500,1018.112384
13.608859,500,1031.058455
10.328906,500,1044.65293
19.018734,500,1057.940957
6.028926,500,1073.128666
11.168134,500,1086.226721
7.155447,500,1099.322769
10.296047,500,1112.228498
20.995234,500,1126.805934
13.306043,500,1140.100507
13.47386,500,1154.676368
10.373497,500,1167.681774
9.298186,500,1180.77851
6.625844,500,1196.648046
10.534185,500,1209.784378
6.452532,500,1223.405733
5.835587,500,1236.739894
15.260575,500,1252.853173
10.491036,500,1266.205203
12.985997,500,1279.598161
11.845154,500,1292.621364
19.366789,500,1306.973376
16.189189,500,1320.335579
9.214166,500,1333.824433
9.936898,500,1346.905814
8.957913,500,1362.600072
8.511924,500,1376.79687
19.904419,500,1390.098044
8.605555,500,1403.208155
7.92868,500,1418.23901
10.269645,500,1431.942549
11.318259,500,1445.423418
7.769128,500,1458.444361
7.884227,500,1473.547295
9.682228,500,1486.825589
14.910987,500,1500.50366
8.3535,500,1513.696683
10.585182,500,1529.4711
16.813369,500,1542.45157
10.152091,500,1556.599316
7.944617,500,1570.997584
18.234825,500,1587.867303
20.117863,500,1601.103325
8.724339,500,1614.68439
14.044107,500,1628.017566
